Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;102;nickel mine;;1970;4000
Australia;102;nickel mine;;1970;29800
Botswana;102;nickel mine;;1970;0
Brazil;102;nickel mine;;1970;2990
Canada;102;nickel mine;;1970;277491
Cuba;102;nickel mine;;1970;36775
Dominican Republic;102;nickel mine;;1970;0
Finland;102;nickel mine;;1970;5261
Greece;102;nickel mine;;1970;8600
Indonesia;102;nickel mine;;1970;10800
Morocco;102;nickel mine;;1970;213
Myanmar;102;nickel mine;;1970;34
New Caledonia;102;nickel mine;;1970;138500
Norway;102;nickel mine;;1970;298
Philippines;102;nickel mine;;1970;103
Poland;102;nickel mine;;1970;1500
Rhodesia;102;nickel mine;;1970;11000
South Africa;102;nickel mine;;1970;11557
Soviet Union;102;nickel mine;;1970;110000
USA;102;nickel mine;;1970;14454
Albania;102;nickel mine;;1971;4000
Australia;102;nickel mine;;1971;35500
Botswana;102;nickel mine;;1971;0
Brazil;102;nickel mine;;1971;3271
Canada;102;nickel mine;;1971;267023
Cuba;102;nickel mine;;1971;36455
Dominican Republic;102;nickel mine;;1971;200
Finland;102;nickel mine;;1971;3723
Greece;102;nickel mine;;1971;10600
Indonesia;102;nickel mine;;1971;12000
Morocco;102;nickel mine;;1971;200
Myanmar;102;nickel mine;;1971;30
New Caledonia;102;nickel mine;;1971;150900
Norway;102;nickel mine;;1971;360
Philippines;102;nickel mine;;1971;222
Poland;102;nickel mine;;1971;1500
Rhodesia;102;nickel mine;;1971;11600
South Africa;102;nickel mine;;1971;12757
Soviet Union;102;nickel mine;;1971;110000
USA;102;nickel mine;;1971;15455
