Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;36;cobalt mine;;1992;1270
Botswana;36;cobalt mine;;1992;208
Brazil;36;cobalt mine;;1992;1000
Canada;36;cobalt mine;;1992;5102
China;36;cobalt mine;;1992;255
Congo, Democratic Republic;36;cobalt mine;;1992;8547
Cuba;36;cobalt mine;;1992;1360
Finland;36;cobalt mine;;1992;216
Indonesia;36;cobalt mine;;1992;700
Morocco;36;cobalt mine;;1992;425
New Caledonia;36;cobalt mine;;1992;3000
Russia;36;cobalt mine;;1992;7057
South Africa;36;cobalt mine;;1992;234
Zambia;36;cobalt mine;;1992;4610
Zimbabwe;36;cobalt mine;;1992;100
Australia;36;cobalt mine;;1993;1159
Botswana;36;cobalt mine;;1993;205
Brazil;36;cobalt mine;;1993;1200
Canada;36;cobalt mine;;1993;5108
China;36;cobalt mine;;1993;240
Congo, Democratic Republic;36;cobalt mine;;1993;2092
Cuba;36;cobalt mine;;1993;1258
Finland;36;cobalt mine;;1993;167
Indonesia;36;cobalt mine;;1993;800
Morocco;36;cobalt mine;;1993;405
New Caledonia;36;cobalt mine;;1993;2407
Russia;36;cobalt mine;;1993;5298
South Africa;36;cobalt mine;;1993;243
Zambia;36;cobalt mine;;1993;4211
Zimbabwe;36;cobalt mine;;1993;113
Australia;36;cobalt mine;;1994;1394
Botswana;36;cobalt mine;;1994;225
Brazil;36;cobalt mine;;1994;1300
Canada;36;cobalt mine;;1994;4265
China;36;cobalt mine;;1994;270
Congo, Democratic Republic;36;cobalt mine;;1994;3274
Cuba;36;cobalt mine;;1994;1141
Finland;36;cobalt mine;;1994;121
Indonesia;36;cobalt mine;;1994;800
Morocco;36;cobalt mine;;1994;427
New Caledonia;36;cobalt mine;;1994;2756
Russia;36;cobalt mine;;1994;4330
South Africa;36;cobalt mine;;1994;258
Zambia;36;cobalt mine;;1994;2480
Zimbabwe;36;cobalt mine;;1994;126
Australia;36;cobalt mine;;1995;2100
Botswana;36;cobalt mine;;1995;271
Brazil;36;cobalt mine;;1995;1100
Canada;36;cobalt mine;;1995;5339
China;36;cobalt mine;;1995;981
Congo, Democratic Republic;36;cobalt mine;;1995;3967
Cuba;36;cobalt mine;;1995;1854
Finland;36;cobalt mine;;1995;
Indonesia;36;cobalt mine;;1995;814
Morocco;36;cobalt mine;;1995;548
New Caledonia;36;cobalt mine;;1995;2601
Russia;36;cobalt mine;;1995;4200
South Africa;36;cobalt mine;;1995;190
Zambia;36;cobalt mine;;1995;2934
Zimbabwe;36;cobalt mine;;1995;109
Australia;36;cobalt mine;;1996;1609
Botswana;36;cobalt mine;;1996;406
