Country;commodity_code;commodity_desc;Sub-commodity;year;value
Argentina;84;lithium minerals;Carbonate;2012;
Argentina;84;lithium minerals;Chloride;2012;
Argentina;84;lithium minerals;Lithium minerals (Carbonate -Li content);2012;
Argentina;84;lithium minerals;Lithium minerals (Chloride -Li content);2012;
Argentina;84;lithium minerals;;2012;14369
Australia;84;lithium minerals;Lithium minerals (Li content);2012;
Australia;84;lithium minerals;Spodumene;2012;500899
Bolivia;84;lithium minerals;Carbonate;2012;0
Bolivia;84;lithium minerals;Lithium minerals (Li content);2012;
Brazil;84;lithium minerals;Lithium minerals (Li content);2012;
Brazil;84;lithium minerals;Spodumene;2012;7084
Canada;84;lithium minerals;Lithium minerals (Li content);2012;
Canada;84;lithium minerals;Spodumene;2012;
Canada;84;lithium minerals;;2012;0
Chile;84;lithium minerals;Carbonate;2012;62002
Chile;84;lithium minerals;Chloride;2012;4145
Chile;84;lithium minerals;Lithium minerals (Carbonate -Li content);2012;
Chile;84;lithium minerals;Lithium minerals (Chloride -Li content);2012;
Chile;84;lithium minerals;Lithium minerals (Li content);2012;
Chile;84;lithium minerals;Lithium minerals (hydroxide);2012;5447
China;84;lithium minerals;Lithium minerals (Li content);2012;
China;84;lithium minerals;;2012;1900
Namibia;84;lithium minerals;Lepidolite;2012;
Namibia;84;lithium minerals;Lithium minerals (Li content);2012;
Nigeria;84;lithium minerals;Lithium minerals (Li content);2012;
Nigeria;84;lithium minerals;Petalite;2012;
Nigeria;84;lithium minerals;;2012;
Portugal;84;lithium minerals;Lepidolite;2012;20698
Portugal;84;lithium minerals;Lithium minerals (Li content);2012;
USA;84;lithium minerals;Carbonate;2012;
USA;84;lithium minerals;Lithium minerals (Li content);2012;
USA;84;lithium minerals;;2012;1000
United Kingdom;84;lithium minerals;Chloride;2012;
Zimbabwe;84;lithium minerals;Lithium minerals (Li content);2012;
Zimbabwe;84;lithium minerals;Petalite;2012;
Zimbabwe;84;lithium minerals;;2012;47000
Argentina;84;lithium minerals;Carbonate;2013;
Argentina;84;lithium minerals;Chloride;2013;
Argentina;84;lithium minerals;Lithium minerals (Carbonate -Li content);2013;
Argentina;84;lithium minerals;Lithium minerals (Chloride -Li content);2013;
Argentina;84;lithium minerals;;2013;13305
Australia;84;lithium minerals;Lithium minerals (Li content);2013;
Australia;84;lithium minerals;Spodumene;2013;405119
Bolivia;84;lithium minerals;Carbonate;2013;0
Bolivia;84;lithium minerals;Lithium minerals (Li content);2013;
Brazil;84;lithium minerals;Lithium minerals (Li content);2013;
Brazil;84;lithium minerals;Spodumene;2013;7982
Canada;84;lithium minerals;Lithium minerals (Li content);2013;
Canada;84;lithium minerals;Spodumene;2013;0
Canada;84;lithium minerals;;2013;0
Chile;84;lithium minerals;Carbonate;2013;52358
Chile;84;lithium minerals;Chloride;2013;4091
Chile;84;lithium minerals;Lithium minerals (Carbonate -Li content);2013;
Chile;84;lithium minerals;Lithium minerals (Chloride -Li content);2013;
Chile;84;lithium minerals;Lithium minerals (Li content);2013;
Chile;84;lithium minerals;Lithium minerals (hydroxide);2013;4197
China;84;lithium minerals;Lithium minerals (Li content);2013;
China;84;lithium minerals;;2013;2100
Namibia;84;lithium minerals;Lepidolite;2013;
Namibia;84;lithium minerals;Lithium minerals (Li content);2013;
Nigeria;84;lithium minerals;Lithium minerals (Li content);2013;
Nigeria;84;lithium minerals;Petalite;2013;
Nigeria;84;lithium minerals;;2013;
Portugal;84;lithium minerals;Lepidolite;2013;19940
Portugal;84;lithium minerals;Lithium minerals (Li content);2013;
USA;84;lithium minerals;Carbonate;2013;
USA;84;lithium minerals;Lithium minerals (Li content);2013;
USA;84;lithium minerals;;2013;870
United Kingdom;84;lithium minerals;Chloride;2013;
Zimbabwe;84;lithium minerals;Lithium minerals (Li content);2013;
Zimbabwe;84;lithium minerals;Petalite;2013;
Zimbabwe;84;lithium minerals;;2013;44000
Argentina;84;lithium minerals;Carbonate;2014;
Argentina;84;lithium minerals;Chloride;2014;
Argentina;84;lithium minerals;Lithium minerals (Carbonate -Li content);2014;
Argentina;84;lithium minerals;Lithium minerals (Chloride -Li content);2014;
Argentina;84;lithium minerals;;2014;15434
Australia;84;lithium minerals;Lithium minerals (Li content);2014;
Australia;84;lithium minerals;Spodumene;2014;444546
Bolivia;84;lithium minerals;Carbonate;2014;0
Bolivia;84;lithium minerals;Lithium minerals (Li content);2014;
Brazil;84;lithium minerals;Lithium minerals (Li content);2014;
Brazil;84;lithium minerals;Spodumene;2014;8519
Canada;84;lithium minerals;Lithium minerals (Li content);2014;
Canada;84;lithium minerals;Spodumene;2014;0
Canada;84;lithium minerals;;2014;108
Chile;84;lithium minerals;Carbonate;2014;55074
Chile;84;lithium minerals;Chloride;2014;2985
Chile;84;lithium minerals;Lithium minerals (Carbonate -Li content);2014;
Chile;84;lithium minerals;Lithium minerals (Chloride -Li content);2014;
Chile;84;lithium minerals;Lithium minerals (Li content);2014;
