Country;commodity_code;commodity_desc;Sub-commodity;year;value
Armenia;41;copper smelter;;2002;6502
Australia;41;copper smelter;;2002;458000
Brazil;41;copper smelter;;2002;187605
Bulgaria;41;copper smelter;;2002;167000
Canada;41;copper smelter;;2002;513934
Chile;41;copper smelter;;2002;1438700
China;41;copper smelter;;2002;1179900
Congo, Democratic Republic;41;copper smelter;;2002;1800
Finland;41;copper smelter;;2002;160896
Germany;41;copper smelter;;2002;295100
India;41;copper smelter;;2002;374900
Indonesia;41;copper smelter;;2002;211200
Iran;41;copper smelter;;2002;143439
Japan;41;copper smelter;;2002;1283173
Kazakhstan;41;copper smelter;;2002;446198
Korea (Rep. of);41;copper smelter;;2002;380000
Korea, Dem. P.R. of;41;copper smelter;;2002;10000
Mexico;41;copper smelter;;2002;284220
Namibia;41;copper smelter;;2002;26670
Norway;41;copper smelter;;2002;30483
Oman;41;copper smelter;;2002;25000
Pakistan;41;copper smelter;;2002;0
Peru;41;copper smelter;;2002;380834
Philippines;41;copper smelter;;2002;165800
Poland;41;copper smelter;;2002;510725
Romania;41;copper smelter;;2002;3000
Russia;41;copper smelter;;2002;660300
Serbia;41;copper smelter;;2002;0
Serbia and Montenegro;41;copper smelter;;2002;36100
South Africa;41;copper smelter;;2002;117000
Spain;41;copper smelter;;2002;298057
Sweden;41;copper smelter;;2002;186984
Thailand;41;copper smelter;;2002;0
Turkey;41;copper smelter;;2002;19375
USA;41;copper smelter;;2002;683300
Uzbekistan;41;copper smelter;;2002;77000
Vietnam;41;copper smelter;;2002;0
Zambia;41;copper smelter;;2002;245000
Zimbabwe;41;copper smelter;;2002;
Armenia;41;copper smelter;;2003;6259
Australia;41;copper smelter;;2003;435000
Brazil;41;copper smelter;;2003;173378
Bulgaria;41;copper smelter;;2003;199300
Canada;41;copper smelter;;2003;430116
Chile;41;copper smelter;;2003;1542400
China;41;copper smelter;;2003;1379200
Congo, Democratic Republic;41;copper smelter;;2003;8000
Finland;41;copper smelter;;2003;160596
Germany;41;copper smelter;;2003;288800
India;41;copper smelter;;2003;386200
Indonesia;41;copper smelter;;2003;247400
Iran;41;copper smelter;;2003;145670
Japan;41;copper smelter;;2003;1278380
Kazakhstan;41;copper smelter;;2003;431930
Korea (Rep. of);41;copper smelter;;2003;410000
Korea, Dem. P.R. of;41;copper smelter;;2003;10000
