Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;40;copper mine;;1970;6000
Algeria;40;copper mine;;1970;574
Argentina;40;copper mine;;1970;461
Australia;40;copper mine;;1970;157790
Austria;40;copper mine;;1970;2262
Bolivia;40;copper mine;;1970;8700
Brazil;40;copper mine;;1970;3920
Bulgaria;40;copper mine;;1970;42000
Canada;40;copper mine;;1970;610281
Chile;40;copper mine;;1970;685600
Congo;40;copper mine;;1970;269
Cuba;40;copper mine;;1970;400
Ecuador;40;copper mine;;1970;510
Finland;40;copper mine;;1970;30900
France;40;copper mine;;1970;250
German Democratic Rep;40;copper mine;;1970;18000
German Federal Republic;40;copper mine;;1970;1477
Haiti;40;copper mine;;1970;4848
India;40;copper mine;;1970;9700
Indonesia;40;copper mine;;1970;0
Ireland, Republic of;40;copper mine;;1970;8281
Israel;40;copper mine;;1970;10988
Italy;40;copper mine;;1970;2300
Japan;40;copper mine;;1970;119513
Kenya;40;copper mine;;1970;79
Korea (Rep. of);40;copper mine;;1970;1639
Korea, Dem. P.R. of;40;copper mine;;1970;13000
Mauritania;40;copper mine;;1970;1950
Mexico;40;copper mine;;1970;61012
Morocco;40;copper mine;;1970;3172
Myanmar;40;copper mine;;1970;70
Namibia;40;copper mine;;1970;23000
New Zealand;40;copper mine;;1970;47
Nicaragua;40;copper mine;;1970;3029
Norway;40;copper mine;;1970;19947
Papua New Guinea;40;copper mine;;1970;0
Peru;40;copper mine;;1970;220225
Philippines;40;copper mine;;1970;160292
Poland;40;copper mine;;1970;83000
Portugal;40;copper mine;;1970;3762
Rhodesia;40;copper mine;;1970;24000
South Africa;40;copper mine;;1970;144200
Soviet Union;40;copper mine;;1970;925000
Spain;40;copper mine;;1970;9522
Sweden;40;copper mine;;1970;26283
Taiwan;40;copper mine;;1970;2500
Turkey;40;copper mine;;1970;31100
USA;40;copper mine;;1970;1560038
United Kingdom;40;copper mine;;1970;0
Yugoslavia;40;copper mine;;1970;90808
Zaire;40;copper mine;;1970;385679
Zambia;40;copper mine;;1970;684100
Albania;40;copper mine;;1971;6500
Algeria;40;copper mine;;1971;514
Argentina;40;copper mine;;1971;497
Australia;40;copper mine;;1971;177261
Austria;40;copper mine;;1971;2575
Bolivia;40;copper mine;;1971;7809
Brazil;40;copper mine;;1971;5418
Bulgaria;40;copper mine;;1971;44400
Canada;40;copper mine;;1971;654470
Chile;40;copper mine;;1971;708300
Congo;40;copper mine;;1971;2070
Cuba;40;copper mine;;1971;0
Ecuador;40;copper mine;;1971;565
Finland;40;copper mine;;1971;28500
France;40;copper mine;;1971;248
German Democratic Rep;40;copper mine;;1971;15000
German Federal Republic;40;copper mine;;1971;1484
Haiti;40;copper mine;;1971;6500
India;40;copper mine;;1971;11096
Indonesia;40;copper mine;;1971;0
Ireland, Republic of;40;copper mine;;1971;11800
Israel;40;copper mine;;1971;10700
Italy;40;copper mine;;1971;1540
Japan;40;copper mine;;1971;120551
Kenya;40;copper mine;;1971;73
Korea (Rep. of);40;copper mine;;1971;1773
Korea, Dem. P.R. of;40;copper mine;;1971;13000
Mauritania;40;copper mine;;1971;4740
Mexico;40;copper mine;;1971;63150
Morocco;40;copper mine;;1971;2595
Myanmar;40;copper mine;;1971;80
Namibia;40;copper mine;;1971;25900
New Zealand;40;copper mine;;1971;85
Nicaragua;40;copper mine;;1971;3662
Norway;40;copper mine;;1971;21672
Papua New Guinea;40;copper mine;;1971;0
Peru;40;copper mine;;1971;207346
Philippines;40;copper mine;;1971;197573
Poland;40;copper mine;;1971;122300
Portugal;40;copper mine;;1971;3957
Rhodesia;40;copper mine;;1971;23300
South Africa;40;copper mine;;1971;148400
Soviet Union;40;copper mine;;1971;990000
Spain;40;copper mine;;1971;34032
Sweden;40;copper mine;;1971;30200
Taiwan;40;copper mine;;1971;2400
Turkey;40;copper mine;;1971;30000
USA;40;copper mine;;1971;1380894
United Kingdom;40;copper mine;;1971;
Yugoslavia;40;copper mine;;1971;94392
Zaire;40;copper mine;;1971;407700
Zambia;40;copper mine;;1971;651400
