Country;commodity_code;commodity_desc;Sub-commodity;year;value
Argentina;84;lithium minerals;;1982;113
Australia;84;lithium minerals;Spodumene;1982;80
Brazil;84;lithium minerals;Amblygonite;1982;66
Brazil;84;lithium minerals;Lepidolite;1982;74
Brazil;84;lithium minerals;Petalite;1982;2293
Brazil;84;lithium minerals;Spodumene;1982;341
Canada;84;lithium minerals;;1982;0
Chile;84;lithium minerals;;1982;0
China;84;lithium minerals;;1982;14000
Namibia;84;lithium minerals;;1982;1040
Portugal;84;lithium minerals;Lepidolite;1982;905
Soviet Union;84;lithium minerals;;1982;55000
USA;84;lithium minerals;;1982;3500
Zimbabwe;84;lithium minerals;;1982;9786
Argentina;84;lithium minerals;;1983;152
Australia;84;lithium minerals;Spodumene;1983;2492
Brazil;84;lithium minerals;Amblygonite;1983;113
Brazil;84;lithium minerals;Lepidolite;1983;1
Brazil;84;lithium minerals;Petalite;1983;1892
Brazil;84;lithium minerals;Spodumene;1983;116
Canada;84;lithium minerals;;1983;0
Chile;84;lithium minerals;;1983;0
China;84;lithium minerals;;1983;15000
Namibia;84;lithium minerals;;1983;792
Portugal;84;lithium minerals;Lepidolite;1983;545
Soviet Union;84;lithium minerals;;1983;55000
USA;84;lithium minerals;;1983;4500
Zimbabwe;84;lithium minerals;;1983;19193
Argentina;84;lithium minerals;;1984;25
Australia;84;lithium minerals;Spodumene;1984;6668
Brazil;84;lithium minerals;Amblygonite;1984;49
Brazil;84;lithium minerals;Lepidolite;1984;0
Brazil;84;lithium minerals;Petalite;1984;477
Brazil;84;lithium minerals;Spodumene;1984;288
Canada;84;lithium minerals;;1984;700
Chile;84;lithium minerals;;1984;2110
China;84;lithium minerals;;1984;15000
Namibia;84;lithium minerals;;1984;904
Portugal;84;lithium minerals;Lepidolite;1984;985
Soviet Union;84;lithium minerals;;1984;55000
USA;84;lithium minerals;;1984;5000
Zimbabwe;84;lithium minerals;;1984;22548
Argentina;84;lithium minerals;;1985;35
Australia;84;lithium minerals;Spodumene;1985;12009
Brazil;84;lithium minerals;Amblygonite;1985;118
Brazil;84;lithium minerals;Lepidolite;1985;26
Brazil;84;lithium minerals;Petalite;1985;1323
Brazil;84;lithium minerals;Spodumene;1985;107
Canada;84;lithium minerals;;1985;4500
Chile;84;lithium minerals;;1985;4508
China;84;lithium minerals;;1985;15000
Namibia;84;lithium minerals;;1985;1873
Portugal;84;lithium minerals;Lepidolite;1985;130
Soviet Union;84;lithium minerals;;1985;55000
USA;84;lithium minerals;;1985;4500
Zimbabwe;84;lithium minerals;;1985;27910
Argentina;84;lithium minerals;;1986;184
Australia;84;lithium minerals;Spodumene;1986;8530
Brazil;84;lithium minerals;Amblygonite;1986;49
Brazil;84;lithium minerals;Lepidolite;1986;30
Brazil;84;lithium minerals;Petalite;1986;1614
Brazil;84;lithium minerals;Spodumene;1986;366
Canada;84;lithium minerals;;1986;8200
Chile;84;lithium minerals;;1986;4458
China;84;lithium minerals;;1986;15000
Namibia;84;lithium minerals;;1986;855
Portugal;84;lithium minerals;Lepidolite;1986;1800
Soviet Union;84;lithium minerals;;1986;55000
USA;84;lithium minerals;;1986;4000
Zimbabwe;84;lithium minerals;;1986;32760
Argentina;84;lithium minerals;;1987;178
Australia;84;lithium minerals;Spodumene;1987;16621
Brazil;84;lithium minerals;Amblygonite;1987;52
Brazil;84;lithium minerals;Lepidolite;1987;
Brazil;84;lithium minerals;Petalite;1987;2946
Brazil;84;lithium minerals;Spodumene;1987;505
Canada;84;lithium minerals;;1987;11300
Chile;84;lithium minerals;;1987;6139
China;84;lithium minerals;;1987;15000
Namibia;84;lithium minerals;;1987;927
Portugal;84;lithium minerals;Lepidolite;1987;9380
Soviet Union;84;lithium minerals;;1987;55000
USA;84;lithium minerals;;1987;4000
Zimbabwe;84;lithium minerals;;1987;14959
Argentina;84;lithium minerals;;1988;119
Australia;84;lithium minerals;Spodumene;1988;27396
Brazil;84;lithium minerals;Amblygonite;1988;25
Brazil;84;lithium minerals;Lepidolite;1988;
Brazil;84;lithium minerals;Petalite;1988;1115
Brazil;84;lithium minerals;Spodumene;1988;331
Canada;84;lithium minerals;;1988;11300
Chile;84;lithium minerals;;1988;7332
China;84;lithium minerals;;1988;15000
Namibia;84;lithium minerals;;1988;1642
Portugal;84;lithium minerals;Lepidolite;1988;14109
Soviet Union;84;lithium minerals;;1988;55000
USA;84;lithium minerals;;1988;4000
Zimbabwe;84;lithium minerals;;1988;15073
Argentina;84;lithium minerals;;1989;104
Australia;84;lithium minerals;Spodumene;1989;40000
Brazil;84;lithium minerals;Amblygonite;1989;159
Brazil;84;lithium minerals;Lepidolite;1989;
Brazil;84;lithium minerals;Petalite;1989;1133
Brazil;84;lithium minerals;Spodumene;1989;296
Canada;84;lithium minerals;;1989;8700
Chile;84;lithium minerals;;1989;7508
China;84;lithium minerals;;1989;15000
Namibia;84;lithium minerals;;1989;1398
Portugal;84;lithium minerals;Lepidolite;1989;16275
Soviet Union;84;lithium minerals;;1989;55000
USA;84;lithium minerals;;1989;4500
Zimbabwe;84;lithium minerals;;1989;20647
Argentina;84;lithium minerals;;1990;69
Australia;84;lithium minerals;Spodumene;1990;50576
Brazil;84;lithium minerals;Amblygonite;1990;38
Brazil;84;lithium minerals;Lepidolite;1990;
Brazil;84;lithium minerals;Petalite;1990;334
Brazil;84;lithium minerals;Spodumene;1990;103
Canada;84;lithium minerals;;1990;9200
Chile;84;lithium minerals;;1990;9082
China;84;lithium minerals;;1990;15000
Namibia;84;lithium minerals;;1990;1268
Portugal;84;lithium minerals;Lepidolite;1990;20775
Soviet Union;84;lithium minerals;;1990;55000
USA;84;lithium minerals;;1990;4000
Zimbabwe;84;lithium minerals;;1990;19053
Argentina;84;lithium minerals;;1991;287
Australia;84;lithium minerals;Spodumene;1991;43281
Brazil;84;lithium minerals;Amblygonite;1991;28
Brazil;84;lithium minerals;Lepidolite;1991;
Brazil;84;lithium minerals;Petalite;1991;212
