Country;commodity_code;commodity_desc;Sub-commodity;year;value
Algeria;153;zinc mine;;1970;16970
Argentina;153;zinc mine;;1970;38985
Australia;153;zinc mine;;1970;487207
Austria;153;zinc mine;;1970;15707
Bolivia;153;zinc mine;;1970;45800
Brazil;153;zinc mine;;1970;24002
Bulgaria;153;zinc mine;;1970;76400
Canada;153;zinc mine;;1970;1253094
Chile;153;zinc mine;;1970;1537
China;153;zinc mine;;1970;100000
Colombia;153;zinc mine;;1970;389
Congo;153;zinc mine;;1970;200
Ecuador;153;zinc mine;;1970;125
Finland;153;zinc mine;;1970;62609
France;153;zinc mine;;1970;18575
German Democratic Rep;153;zinc mine;;1970;10000
German Federal Republic;153;zinc mine;;1970;113782
Greece;153;zinc mine;;1970;8200
Greenland;153;zinc mine;;1970;0
Guatemala;153;zinc mine;;1970;1000
Honduras;153;zinc mine;;1970;15504
Hungary;153;zinc mine;;1970;4800
India;153;zinc mine;;1970;8420
Ireland, Republic of;153;zinc mine;;1970;96494
Italy;153;zinc mine;;1970;110700
Japan;153;zinc mine;;1970;279679
Korea (Rep. of);153;zinc mine;;1970;23980
Korea, Dem. P.R. of;153;zinc mine;;1970;130000
Mexico;153;zinc mine;;1970;262600
Morocco;153;zinc mine;;1970;17848
Myanmar;153;zinc mine;;1970;3700
Namibia;153;zinc mine;;1970;46100
Nicaragua;153;zinc mine;;1970;
Norway;153;zinc mine;;1970;10321
Peru;153;zinc mine;;1970;299136
Philippines;153;zinc mine;;1970;3191
Poland;153;zinc mine;;1970;242000
Portugal;153;zinc mine;;1970;1606
South Africa;153;zinc mine;;1970;0
Soviet Union;153;zinc mine;;1970;610000
Spain;153;zinc mine;;1970;98065
Sweden;153;zinc mine;;1970;93376
Thailand;153;zinc mine;;1970;500
Tunisia;153;zinc mine;;1970;12251
Turkey;153;zinc mine;;1970;24000
USA;153;zinc mine;;1970;484557
Yugoslavia;153;zinc mine;;1970;101145
Zaire;153;zinc mine;;1970;104300
Algeria;153;zinc mine;;1971;15797
Argentina;153;zinc mine;;1971;43818
Australia;153;zinc mine;;1971;452647
Austria;153;zinc mine;;1971;21073
Bolivia;153;zinc mine;;1971;45412
Brazil;153;zinc mine;;1971;24330
Bulgaria;153;zinc mine;;1971;80000
Canada;153;zinc mine;;1971;1270256
Chile;153;zinc mine;;1971;1982
China;153;zinc mine;;1971;100000
Colombia;153;zinc mine;;1971;279
Congo;153;zinc mine;;1971;500
Ecuador;153;zinc mine;;1971;154
Finland;153;zinc mine;;1971;50020
France;153;zinc mine;;1971;15123
German Democratic Rep;153;zinc mine;;1971;10000
German Federal Republic;153;zinc mine;;1971;122292
Greece;153;zinc mine;;1971;13900
Greenland;153;zinc mine;;1971;0
Guatemala;153;zinc mine;;1971;506
Honduras;153;zinc mine;;1971;22894
Hungary;153;zinc mine;;1971;4800
India;153;zinc mine;;1971;8879
Ireland, Republic of;153;zinc mine;;1971;87500
Italy;153;zinc mine;;1971;105900
Japan;153;zinc mine;;1971;294419
Korea (Rep. of);153;zinc mine;;1971;28160
Korea, Dem. P.R. of;153;zinc mine;;1971;135000
Mexico;153;zinc mine;;1971;264972
Morocco;153;zinc mine;;1971;12328
Myanmar;153;zinc mine;;1971;3400
Namibia;153;zinc mine;;1971;48900
Nicaragua;153;zinc mine;;1971;4056
Norway;153;zinc mine;;1971;10927
Peru;153;zinc mine;;1971;318073
Philippines;153;zinc mine;;1971;3875
Poland;153;zinc mine;;1971;236000
Portugal;153;zinc mine;;1971;2046
South Africa;153;zinc mine;;1971;0
Soviet Union;153;zinc mine;;1971;650000
Spain;153;zinc mine;;1971;87540
Sweden;153;zinc mine;;1971;99043
Thailand;153;zinc mine;;1971;900
Tunisia;153;zinc mine;;1971;11802
Turkey;153;zinc mine;;1971;17500
USA;153;zinc mine;;1971;455899
Yugoslavia;153;zinc mine;;1971;98694
Zaire;153;zinc mine;;1971;108600
