Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;102;nickel mine;;2012;750
Australia;102;nickel mine;;2012;304152
Botswana;102;nickel mine;;2012;17948
Brazil;102;nickel mine;;2012;89600
Canada;102;nickel mine;;2012;211701
China;102;nickel mine;;2012;93300
Colombia;102;nickel mine;;2012;52372
Cuba;102;nickel mine;;2012;64600
Dominican Republic;102;nickel mine;;2012;15186
Finland;102;nickel mine;;2012;19073
Greece;102;nickel mine;;2012;20600
Guatemala;102;nickel mine;;2012;2440
Indonesia;102;nickel mine;;2012;1013000
Ivory Coast;102;nickel mine;;2012;
Kosovo;102;nickel mine;;2012;4436
Madagascar;102;nickel mine;;2012;5695
Morocco;102;nickel mine;;2012;288
Myanmar;102;nickel mine;;2012;0
New Caledonia;102;nickel mine;;2012;131693
North Macedonia;102;nickel mine;;2012;1700
Norway;102;nickel mine;;2012;351
Papua New Guinea;102;nickel mine;;2012;5283
Philippines;102;nickel mine;;2012;317621
Poland;102;nickel mine;;2012;840
Russia;102;nickel mine;;2012;268700
South Africa;102;nickel mine;;2012;45945
Spain;102;nickel mine;;2012;2398
Turkey;102;nickel mine;;2012;3805
USA;102;nickel mine;;2012;0
Venezuela;102;nickel mine;;2012;8100
Vietnam;102;nickel mine;;2012;0
Zambia;102;nickel mine;;2012;
Zimbabwe;102;nickel mine;;2012;7899
Albania;102;nickel mine;;2013;2151
Australia;102;nickel mine;;2013;292619
Botswana;102;nickel mine;;2013;22848
Brazil;102;nickel mine;;2013;77400
Canada;102;nickel mine;;2013;227743
China;102;nickel mine;;2013;93151
Colombia;102;nickel mine;;2013;49320
Cuba;102;nickel mine;;2013;55600
Dominican Republic;102;nickel mine;;2013;9355
Finland;102;nickel mine;;2013;18560
Greece;102;nickel mine;;2013;19800
Guatemala;102;nickel mine;;2013;9120
Indonesia;102;nickel mine;;2013;1340000
Ivory Coast;102;nickel mine;;2013;0
Kosovo;102;nickel mine;;2013;7607
Madagascar;102;nickel mine;;2013;25148
Morocco;102;nickel mine;;2013;160
Myanmar;102;nickel mine;;2013;9450
New Caledonia;102;nickel mine;;2013;164406
North Macedonia;102;nickel mine;;2013;
Norway;102;nickel mine;;2013;296
Papua New Guinea;102;nickel mine;;2013;11369
Philippines;102;nickel mine;;2013;315633
Poland;102;nickel mine;;2013;570
Russia;102;nickel mine;;2013;264000
South Africa;102;nickel mine;;2013;51208
Spain;102;nickel mine;;2013;7574
Turkey;102;nickel mine;;2013;1076
USA;102;nickel mine;;2013;0
Venezuela;102;nickel mine;;2013;0
Vietnam;102;nickel mine;;2013;1166
Zambia;102;nickel mine;;2013;
Zimbabwe;102;nickel mine;;2013;12962
Albania;102;nickel mine;;2014;5091
Australia;102;nickel mine;;2014;266181
Botswana;102;nickel mine;;2014;14958
Brazil;102;nickel mine;;2014;85600
Canada;102;nickel mine;;2014;228867
China;102;nickel mine;;2014;101067
Colombia;102;nickel mine;;2014;41221
Cuba;102;nickel mine;;2014;51600
Dominican Republic;102;nickel mine;;2014;0
Finland;102;nickel mine;;2014;19281
Greece;102;nickel mine;;2014;20600
Guatemala;102;nickel mine;;2014;37222
Indonesia;102;nickel mine;;2014;188000
Ivory Coast;102;nickel mine;;2014;0
Kosovo;102;nickel mine;;2014;6724
Madagascar;102;nickel mine;;2014;37053
Morocco;102;nickel mine;;2014;0
Myanmar;102;nickel mine;;2014;19706
New Caledonia;102;nickel mine;;2014;175174
North Macedonia;102;nickel mine;;2014;
Norway;102;nickel mine;;2014;290
Papua New Guinea;102;nickel mine;;2014;20987
Philippines;102;nickel mine;;2014;393262
Poland;102;nickel mine;;2014;780
Russia;102;nickel mine;;2014;264000
South Africa;102;nickel mine;;2014;54956
Spain;102;nickel mine;;2014;8631
Turkey;102;nickel mine;;2014;3034
USA;102;nickel mine;;2014;4093
Venezuela;102;nickel mine;;2014;2500
Vietnam;102;nickel mine;;2014;6854
Zambia;102;nickel mine;;2014;
Zimbabwe;102;nickel mine;;2014;16633
Albania;102;nickel mine;;2015;6280
Australia;102;nickel mine;;2015;225227
Botswana;102;nickel mine;;2015;16789
Brazil;102;nickel mine;;2015;182900
Canada;102;nickel mine;;2015;234519
China;102;nickel mine;;2015;101403
Colombia;102;nickel mine;;2015;36671
Cuba;102;nickel mine;;2015;50000
Dominican Republic;102;nickel mine;;2015;0
Finland;102;nickel mine;;2015;9383
Greece;102;nickel mine;;2015;20800
Guatemala;102;nickel mine;;2015;46298
Indonesia;102;nickel mine;;2015;129600
Ivory Coast;102;nickel mine;;2015;0
Kosovo;102;nickel mine;;2015;7418
Madagascar;102;nickel mine;;2015;47271
Morocco;102;nickel mine;;2015;0
Myanmar;102;nickel mine;;2015;22913
New Caledonia;102;nickel mine;;2015;193199
North Macedonia;102;nickel mine;;2015;
Norway;102;nickel mine;;2015;300
Papua New Guinea;102;nickel mine;;2015;25582
Philippines;102;nickel mine;;2015;418292
Poland;102;nickel mine;;2015;840
Russia;102;nickel mine;;2015;261000
South Africa;102;nickel mine;;2015;56689
Spain;102;nickel mine;;2015;7213
Turkey;102;nickel mine;;2015;8637
USA;102;nickel mine;;2015;27167
Venezuela;102;nickel mine;;2015;2581
Vietnam;102;nickel mine;;2015;8607
Zambia;102;nickel mine;;2015;0
Zimbabwe;102;nickel mine;;2015;16109
Albania;102;nickel mine;;2016;3952
Australia;102;nickel mine;;2016;203135
Botswana;102;nickel mine;;2016;14273
Brazil;102;nickel mine;;2016;134600
Canada;102;nickel mine;;2016;235034
China;102;nickel mine;;2016;100219
Colombia;102;nickel mine;;2016;37091
Cuba;102;nickel mine;;2016;47800
Dominican Republic;102;nickel mine;;2016;9913
Finland;102;nickel mine;;2016;20654
Greece;102;nickel mine;;2016;21800
Guatemala;102;nickel mine;;2016;36939
