Country;commodity_code;commodity_desc;Sub-commodity;year;value
Argentina;3;aluminium primary;;1992;153000
Australia;3;aluminium primary;;1992;1245000
Austria;3;aluminium primary;;1992;32866
Azerbaijan;3;aluminium primary;;1992;24000
Bahrain;3;aluminium primary;;1992;292460
Bosnia & Herzegovina;3;aluminium primary;;1992;
Brazil;3;aluminium primary;;1992;1193300
Cameroon;3;aluminium primary;;1992;82500
Canada;3;aluminium primary;;1992;1971843
China;3;aluminium primary;;1992;1096400
Czechoslovakia;3;aluminium primary;;1992;32670
Egypt;3;aluminium primary;;1992;177838
France;3;aluminium primary;;1992;423000
Germany;3;aluminium primary;;1992;626491
Ghana;3;aluminium primary;;1992;179000
Greece;3;aluminium primary;;1992;150850
Hungary;3;aluminium primary;;1992;26857
Iceland;3;aluminium primary;;1992;89478
India;3;aluminium primary;;1992;483100
Indonesia;3;aluminium primary;;1992;188772
Iran;3;aluminium primary;;1992;117230
Italy;3;aluminium primary;;1992;160700
Japan;3;aluminium primary;;1992;18884
Korea (Rep. of);3;aluminium primary;;1992;12000
Mexico;3;aluminium primary;;1992;0
Mozambique;3;aluminium primary;;1992;
Netherlands;3;aluminium primary;;1992;227328
New Zealand;3;aluminium primary;;1992;241600
Nigeria;3;aluminium primary;;1992;
Norway;3;aluminium primary;;1992;838133
Poland;3;aluminium primary;;1992;43628
Romania;3;aluminium primary;;1992;111992
Russia;3;aluminium primary;;1992;2725000
Serbia and Montenegro;3;aluminium primary;;1992;
Slovakia;3;aluminium primary;;1992;0
Slovenia;3;aluminium primary;;1992;84809
South Africa;3;aluminium primary;;1992;172795
Spain;3;aluminium primary;;1992;359000
Suriname;3;aluminium primary;;1992;32358
Sweden;3;aluminium primary;;1992;103297
Switzerland;3;aluminium primary;;1992;50794
Tajikistan;3;aluminium primary;;1992;345000
Turkey;3;aluminium primary;;1992;58581
USA;3;aluminium primary;;1992;4042000
Ukraine;3;aluminium primary;;1992;105000
United Arab Emirates;3;aluminium primary;;1992;244600
United Kingdom;3;aluminium primary;;1992;244163
Venezuela;3;aluminium primary;;1992;567399
Argentina;3;aluminium primary;;1993;170593
Australia;3;aluminium primary;;1993;1388000
Austria;3;aluminium primary;;1993;
Azerbaijan;3;aluminium primary;;1993;7000
Bahrain;3;aluminium primary;;1993;450000
Bosnia & Herzegovina;3;aluminium primary;;1993;
Brazil;3;aluminium primary;;1993;1172000
Cameroon;3;aluminium primary;;1993;86500
Canada;3;aluminium primary;;1993;2308867
China;3;aluminium primary;;1993;1255400
Czechoslovakia;3;aluminium primary;;1993;
Egypt;3;aluminium primary;;1993;178477
France;3;aluminium primary;;1993;432000
Germany;3;aluminium primary;;1993;551933
Ghana;3;aluminium primary;;1993;174100
Greece;3;aluminium primary;;1993;146800
Hungary;3;aluminium primary;;1993;27876
Iceland;3;aluminium primary;;1993;94480
India;3;aluminium primary;;1993;463424
Indonesia;3;aluminium primary;;1993;205526
Iran;3;aluminium primary;;1993;109190
Italy;3;aluminium primary;;1993;155600
Japan;3;aluminium primary;;1993;18263
Korea (Rep. of);3;aluminium primary;;1993;
Mexico;3;aluminium primary;;1993;0
Mozambique;3;aluminium primary;;1993;
Netherlands;3;aluminium primary;;1993;228300
New Zealand;3;aluminium primary;;1993;277400
Nigeria;3;aluminium primary;;1993;
Norway;3;aluminium primary;;1993;887461
Poland;3;aluminium primary;;1993;46942
Romania;3;aluminium primary;;1993;112360
Russia;3;aluminium primary;;1993;2819000
Serbia and Montenegro;3;aluminium primary;;1993;
Slovakia;3;aluminium primary;;1993;35000
Slovenia;3;aluminium primary;;1993;82682
South Africa;3;aluminium primary;;1993;175867
Spain;3;aluminium primary;;1993;355900
Suriname;3;aluminium primary;;1993;30112
Sweden;3;aluminium primary;;1993;108040
Switzerland;3;aluminium primary;;1993;36439
Tajikistan;3;aluminium primary;;1993;253000
Turkey;3;aluminium primary;;1993;58501
USA;3;aluminium primary;;1993;3695000
Ukraine;3;aluminium primary;;1993;104000
United Arab Emirates;3;aluminium primary;;1993;241600
United Kingdom;3;aluminium primary;;1993;239099
Venezuela;3;aluminium primary;;1993;574626
Argentina;3;aluminium primary;;1994;173371
Australia;3;aluminium primary;;1994;1317000
Austria;3;aluminium primary;;1994;
Azerbaijan;3;aluminium primary;;1994;10000
Bahrain;3;aluminium primary;;1994;451903
Bosnia & Herzegovina;3;aluminium primary;;1994;
Brazil;3;aluminium primary;;1994;1184600
Cameroon;3;aluminium primary;;1994;81100
Canada;3;aluminium primary;;1994;2254683
China;3;aluminium primary;;1994;1498300
Czechoslovakia;3;aluminium primary;;1994;
Egypt;3;aluminium primary;;1994;188464
France;3;aluminium primary;;1994;387500
Germany;3;aluminium primary;;1994;504956
Ghana;3;aluminium primary;;1994;140700
Greece;3;aluminium primary;;1994;144300
Hungary;3;aluminium primary;;1994;29600
Iceland;3;aluminium primary;;1994;99294
India;3;aluminium primary;;1994;476521
Indonesia;3;aluminium primary;;1994;221900
Iran;3;aluminium primary;;1994;120814
Italy;3;aluminium primary;;1994;175600
Japan;3;aluminium primary;;1994;16956
Korea (Rep. of);3;aluminium primary;;1994;
Mexico;3;aluminium primary;;1994;0
Mozambique;3;aluminium primary;;1994;
Netherlands;3;aluminium primary;;1994;230100
New Zealand;3;aluminium primary;;1994;269100
Nigeria;3;aluminium primary;;1994;0
Norway;3;aluminium primary;;1994;856967
Poland;3;aluminium primary;;1994;49509
Romania;3;aluminium primary;;1994;119600
Russia;3;aluminium primary;;1994;2668000
Serbia and Montenegro;3;aluminium primary;;1994;6850
Slovakia;3;aluminium primary;;1994;33000
Slovenia;3;aluminium primary;;1994;74300
South Africa;3;aluminium primary;;1994;172111
Spain;3;aluminium primary;;1994;338100
Suriname;3;aluminium primary;;1994;26706
Sweden;3;aluminium primary;;1994;108823
Switzerland;3;aluminium primary;;1994;24171
Tajikistan;3;aluminium primary;;1994;236500
Turkey;3;aluminium primary;;1994;59700
USA;3;aluminium primary;;1994;3299000
Ukraine;3;aluminium primary;;1994;102000
United Arab Emirates;3;aluminium primary;;1994;246200
United Kingdom;3;aluminium primary;;1994;231223
Venezuela;3;aluminium primary;;1994;592718
Argentina;3;aluminium primary;;1995;185457
Australia;3;aluminium primary;;1995;1297000
Austria;3;aluminium primary;;1995;
Azerbaijan;3;aluminium primary;;1995;11000
Bahrain;3;aluminium primary;;1995;453883
Bosnia & Herzegovina;3;aluminium primary;;1995;0
Brazil;3;aluminium primary;;1995;1188100
Cameroon;3;aluminium primary;;1995;79300
Canada;3;aluminium primary;;1995;2171992
China;3;aluminium primary;;1995;1869700
Czechoslovakia;3;aluminium primary;;1995;
Egypt;3;aluminium primary;;1995;180000
France;3;aluminium primary;;1995;364500
Germany;3;aluminium primary;;1995;575200
Ghana;3;aluminium primary;;1995;135400
Greece;3;aluminium primary;;1995;144430
Hungary;3;aluminium primary;;1995;34900
Iceland;3;aluminium primary;;1995;100101
India;3;aluminium primary;;1995;517806
Indonesia;3;aluminium primary;;1995;228100
Iran;3;aluminium primary;;1995;114879
Italy;3;aluminium primary;;1995;177800
Japan;3;aluminium primary;;1995;18034
Korea (Rep. of);3;aluminium primary;;1995;
Mexico;3;aluminium primary;;1995;10413
Mozambique;3;aluminium primary;;1995;
Netherlands;3;aluminium primary;;1995;216000
New Zealand;3;aluminium primary;;1995;273296
Nigeria;3;aluminium primary;;1995;0
Norway;3;aluminium primary;;1995;846794
Poland;3;aluminium primary;;1995;50800
Romania;3;aluminium primary;;1995;140500
Russia;3;aluminium primary;;1995;2789800
Serbia and Montenegro;3;aluminium primary;;1995;16991
Slovakia;3;aluminium primary;;1995;60600
Slovenia;3;aluminium primary;;1995;70200
South Africa;3;aluminium primary;;1995;195292
Spain;3;aluminium primary;;1995;361882
Suriname;3;aluminium primary;;1995;26667
Sweden;3;aluminium primary;;1995;92797
Switzerland;3;aluminium primary;;1995;20726
Tajikistan;3;aluminium primary;;1995;237000
Turkey;3;aluminium primary;;1995;61513
USA;3;aluminium primary;;1995;3375100
Ukraine;3;aluminium primary;;1995;95100
United Arab Emirates;3;aluminium primary;;1995;247400
United Kingdom;3;aluminium primary;;1995;237899
Venezuela;3;aluminium primary;;1995;629827
Argentina;3;aluminium primary;;1996;185934
Australia;3;aluminium primary;;1996;1372000
Austria;3;aluminium primary;;1996;
Azerbaijan;3;aluminium primary;;1996;
Bahrain;3;aluminium primary;;1996;461245
Bosnia & Herzegovina;3;aluminium primary;;1996;0
Brazil;3;aluminium primary;;1996;1197400
Cameroon;3;aluminium primary;;1996;82300
Canada;3;aluminium primary;;1996;2283212
China;3;aluminium primary;;1996;1896200
Czechoslovakia;3;aluminium primary;;1996;
Egypt;3;aluminium primary;;1996;179200
France;3;aluminium primary;;1996;380100
Germany;3;aluminium primary;;1996;576492
Ghana;3;aluminium primary;;1996;137000
Greece;3;aluminium primary;;1996;141295
Hungary;3;aluminium primary;;1996;32000
Iceland;3;aluminium primary;;1996;102096
India;3;aluminium primary;;1996;497540
Indonesia;3;aluminium primary;;1996;223100
Iran;3;aluminium primary;;1996;77535
Italy;3;aluminium primary;;1996;184400
Japan;3;aluminium primary;;1996;16959
Korea (Rep. of);3;aluminium primary;;1996;
Mexico;3;aluminium primary;;1996;61458
Mozambique;3;aluminium primary;;1996;0
Netherlands;3;aluminium primary;;1996;227000
New Zealand;3;aluminium primary;;1996;283329
Nigeria;3;aluminium primary;;1996;0
Norway;3;aluminium primary;;1996;863327
Poland;3;aluminium primary;;1996;51500
Romania;3;aluminium primary;;1996;140872
Russia;3;aluminium primary;;1996;2873000
Serbia and Montenegro;3;aluminium primary;;1996;37436
Slovakia;3;aluminium primary;;1996;115600
Slovenia;3;aluminium primary;;1996;65800
South Africa;3;aluminium primary;;1996;569607
Spain;3;aluminium primary;;1996;361828
Suriname;3;aluminium primary;;1996;26036
Sweden;3;aluminium primary;;1996;98974
Switzerland;3;aluminium primary;;1996;26594
Tajikistan;3;aluminium primary;;1996;198300
Turkey;3;aluminium primary;;1996;62100
USA;3;aluminium primary;;1996;3577200
Ukraine;3;aluminium primary;;1996;89875
United Arab Emirates;3;aluminium primary;;1996;258500
United Kingdom;3;aluminium primary;;1996;239963
Venezuela;3;aluminium primary;;1996;634900
Argentina;3;aluminium primary;;1997;187157
Australia;3;aluminium primary;;1997;1495000
Austria;3;aluminium primary;;1997;
Azerbaijan;3;aluminium primary;;1997;4800
Bahrain;3;aluminium primary;;1997;489915
Bosnia & Herzegovina;3;aluminium primary;;1997;8000
Brazil;3;aluminium primary;;1997;1189100
Cameroon;3;aluminium primary;;1997;90900
Canada;3;aluminium primary;;1997;2327188
China;3;aluminium primary;;1997;2178600
Czechoslovakia;3;aluminium primary;;1997;
Egypt;3;aluminium primary;;1997;178200
France;3;aluminium primary;;1997;399400
Germany;3;aluminium primary;;1997;571941
Ghana;3;aluminium primary;;1997;151600
Greece;3;aluminium primary;;1997;132600
Hungary;3;aluminium primary;;1997;33700
Iceland;3;aluminium primary;;1997;123356
India;3;aluminium primary;;1997;553255
Indonesia;3;aluminium primary;;1997;217400
Iran;3;aluminium primary;;1997;95521
Italy;3;aluminium primary;;1997;187700
Japan;3;aluminium primary;;1997;16694
Korea (Rep. of);3;aluminium primary;;1997;
Mexico;3;aluminium primary;;1997;66356
Mozambique;3;aluminium primary;;1997;0
Netherlands;3;aluminium primary;;1997;231800
New Zealand;3;aluminium primary;;1997;310324
Nigeria;3;aluminium primary;;1997;2500
Norway;3;aluminium primary;;1997;918511
Poland;3;aluminium primary;;1997;51500
Romania;3;aluminium primary;;1997;161907
Russia;3;aluminium primary;;1997;2906000
Serbia and Montenegro;3;aluminium primary;;1997;80600
Slovakia;3;aluminium primary;;1997;110190
Slovenia;3;aluminium primary;;1997;74400
South Africa;3;aluminium primary;;1997;673043
Spain;3;aluminium primary;;1997;360061
Suriname;3;aluminium primary;;1997;23128
Sweden;3;aluminium primary;;1997;98798
Switzerland;3;aluminium primary;;1997;27339
Tajikistan;3;aluminium primary;;1997;188900
Turkey;3;aluminium primary;;1997;62020
USA;3;aluminium primary;;1997;3603400
Ukraine;3;aluminium primary;;1997;100547
United Arab Emirates;3;aluminium primary;;1997;379200
United Kingdom;3;aluminium primary;;1997;247675
Venezuela;3;aluminium primary;;1997;642000
Argentina;3;aluminium primary;;1998;373310
Australia;3;aluminium primary;;1998;1627000
Austria;3;aluminium primary;;1998;
Azerbaijan;3;aluminium primary;;1998;3386
Bahrain;3;aluminium primary;;1998;501308
Bosnia & Herzegovina;3;aluminium primary;;1998;30000
Brazil;3;aluminium primary;;1998;1208000
Cameroon;3;aluminium primary;;1998;81600
Canada;3;aluminium primary;;1998;2374118
China;3;aluminium primary;;1998;2435300
Czechoslovakia;3;aluminium primary;;1998;
Egypt;3;aluminium primary;;1998;187200
France;3;aluminium primary;;1998;423600
Germany;3;aluminium primary;;1998;612381
Ghana;3;aluminium primary;;1998;56100
Greece;3;aluminium primary;;1998;146100
Hungary;3;aluminium primary;;1998;34000
Iceland;3;aluminium primary;;1998;183400
India;3;aluminium primary;;1998;543451
Indonesia;3;aluminium primary;;1998;134300
Iran;3;aluminium primary;;1998;123758
Italy;3;aluminium primary;;1998;187000
Japan;3;aluminium primary;;1998;16302
Korea (Rep. of);3;aluminium primary;;1998;
Mexico;3;aluminium primary;;1998;61848
Mozambique;3;aluminium primary;;1998;0
Netherlands;3;aluminium primary;;1998;264700
New Zealand;3;aluminium primary;;1998;317600
Nigeria;3;aluminium primary;;1998;25500
Norway;3;aluminium primary;;1998;994195
Poland;3;aluminium primary;;1998;51500
Romania;3;aluminium primary;;1998;174040
Russia;3;aluminium primary;;1998;3010000
Serbia and Montenegro;3;aluminium primary;;1998;76736
Slovakia;3;aluminium primary;;1998;108000
Slovenia;3;aluminium primary;;1998;70800
South Africa;3;aluminium primary;;1998;676999
Spain;3;aluminium primary;;1998;360400
Suriname;3;aluminium primary;;1998;27416
Sweden;3;aluminium primary;;1998;96098
Switzerland;3;aluminium primary;;1998;32106
Tajikistan;3;aluminium primary;;1998;195630
Turkey;3;aluminium primary;;1998;61803
USA;3;aluminium primary;;1998;3712700
Ukraine;3;aluminium primary;;1998;106678
United Arab Emirates;3;aluminium primary;;1998;386648
United Kingdom;3;aluminium primary;;1998;258397
Venezuela;3;aluminium primary;;1998;586499
Argentina;3;aluminium primary;;1999;206395
Australia;3;aluminium primary;;1999;1718000
Austria;3;aluminium primary;;1999;
