Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;102;nickel mine;;1992;57800
Botswana;102;nickel mine;;1992;18873
Brazil;102;nickel mine;;1992;29372
Canada;102;nickel mine;;1992;186384
China;102;nickel mine;;1992;32800
Colombia;102;nickel mine;;1992;23400
Cuba;102;nickel mine;;1992;31036
Dominican Republic;102;nickel mine;;1992;43874
Finland;102;nickel mine;;1992;10311
Greece;102;nickel mine;;1992;17000
Indonesia;102;nickel mine;;1992;78094
Kazakhstan;102;nickel mine;;1992;
New Caledonia;102;nickel mine;;1992;100500
North Macedonia;102;nickel mine;;1992;5500
Norway;102;nickel mine;;1992;3398
Philippines;102;nickel mine;;1992;14005
Russia;102;nickel mine;;1992;214100
Serbia and Montenegro;102;nickel mine;;1992;0
South Africa;102;nickel mine;;1992;
Spain;102;nickel mine;;1992;
Turkey;102;nickel mine;;1992;
USA;102;nickel mine;;1992;6671
Ukraine;102;nickel mine;;1992;5900
Venezuela;102;nickel mine;;1992;
Zimbabwe;102;nickel mine;;1992;10349
Australia;102;nickel mine;;1993;65400
Botswana;102;nickel mine;;1993;21621
Brazil;102;nickel mine;;1993;32154
Canada;102;nickel mine;;1993;188080
China;102;nickel mine;;1993;30800
Colombia;102;nickel mine;;1993;23474
Cuba;102;nickel mine;;1993;29166
Dominican Republic;102;nickel mine;;1993;36487
Finland;102;nickel mine;;1993;8862
Greece;102;nickel mine;;1993;12940
Indonesia;102;nickel mine;;1993;65757
Kazakhstan;102;nickel mine;;1993;1000
New Caledonia;102;nickel mine;;1993;97092
North Macedonia;102;nickel mine;;1993;5300
Norway;102;nickel mine;;1993;3462
Philippines;102;nickel mine;;1993;10000
Russia;102;nickel mine;;1993;209000
Serbia and Montenegro;102;nickel mine;;1993;0
South Africa;102;nickel mine;;1993;29868
Spain;102;nickel mine;;1993;
Turkey;102;nickel mine;;1993;
USA;102;nickel mine;;1993;2464
Ukraine;102;nickel mine;;1993;3500
Venezuela;102;nickel mine;;1993;
Zimbabwe;102;nickel mine;;1993;12800
Australia;102;nickel mine;;1994;75900
Botswana;102;nickel mine;;1994;19041
Brazil;102;nickel mine;;1994;32663
Canada;102;nickel mine;;1994;149886
China;102;nickel mine;;1994;36900
Colombia;102;nickel mine;;1994;28144
Cuba;102;nickel mine;;1994;25956
Dominican Republic;102;nickel mine;;1994;50146
Finland;102;nickel mine;;1994;7652
Greece;102;nickel mine;;1994;18821
