Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;30;chromium ores and concentrates;;1972;610000
Brazil;30;chromium ores and concentrates;;1972;70721
Colombia;30;chromium ores and concentrates;;1972;200
Cuba;30;chromium ores and concentrates;;1972;37104
Cyprus;30;chromium ores and concentrates;;1972;29644
Finland;30;chromium ores and concentrates;;1972;97000
Greece;30;chromium ores and concentrates;;1972;22130
India;30;chromium ores and concentrates;;1972;281025
Iran;30;chromium ores and concentrates;;1972;140000
Japan;30;chromium ores and concentrates;;1972;24819
Madagascar;30;chromium ores and concentrates;;1972;111770
New Caledonia;30;chromium ores and concentrates;;1972;
Pakistan;30;chromium ores and concentrates;;1972;30683
Philippines;30;chromium ores and concentrates;;1972;349600
Rhodesia;30;chromium ores and concentrates;;1972;400000
South Africa;30;chromium ores and concentrates;;1972;1483159
Soviet Union;30;chromium ores and concentrates;;1972;1850000
Sudan;30;chromium ores and concentrates;;1972;23000
Turkey;30;chromium ores and concentrates;;1972;680200
Vietnam;30;chromium ores and concentrates;;1972;
Yugoslavia;30;chromium ores and concentrates;;1972;28137
Zimbabwe;30;chromium ores and concentrates;;1972;
Albania;30;chromium ores and concentrates;;1973;611000
Brazil;30;chromium ores and concentrates;;1973;72824
Colombia;30;chromium ores and concentrates;;1973;12000
Cuba;30;chromium ores and concentrates;;1973;37164
Cyprus;30;chromium ores and concentrates;;1973;29749
Finland;30;chromium ores and concentrates;;1973;147510
Greece;30;chromium ores and concentrates;;1973;18442
India;30;chromium ores and concentrates;;1973;290537
Iran;30;chromium ores and concentrates;;1973;140000
Japan;30;chromium ores and concentrates;;1973;23174
Madagascar;30;chromium ores and concentrates;;1973;102500
New Caledonia;30;chromium ores and concentrates;;1973;
Pakistan;30;chromium ores and concentrates;;1973;20388
Philippines;30;chromium ores and concentrates;;1973;580268
Rhodesia;30;chromium ores and concentrates;;1973;550000
South Africa;30;chromium ores and concentrates;;1973;1649630
Soviet Union;30;chromium ores and concentrates;;1973;1900000
Sudan;30;chromium ores and concentrates;;1973;31548
Turkey;30;chromium ores and concentrates;;1973;568500
Vietnam;30;chromium ores and concentrates;;1973;
Yugoslavia;30;chromium ores and concentrates;;1973;6100
Zimbabwe;30;chromium ores and concentrates;;1973;
Albania;30;chromium ores and concentrates;;1974;715000
Brazil;30;chromium ores and concentrates;;1974;88077
Colombia;30;chromium ores and concentrates;;1974;12000
Cuba;30;chromium ores and concentrates;;1974;37734
Cyprus;30;chromium ores and concentrates;;1974;33809
Finland;30;chromium ores and concentrates;;1974;165479
Greece;30;chromium ores and concentrates;;1974;9589
India;30;chromium ores and concentrates;;1974;396535
Iran;30;chromium ores and concentrates;;1974;175000
Japan;30;chromium ores and concentrates;;1974;28858
Madagascar;30;chromium ores and concentrates;;1974;155874
New Caledonia;30;chromium ores and concentrates;;1974;
Pakistan;30;chromium ores and concentrates;;1974;9479
Philippines;30;chromium ores and concentrates;;1974;529547
Rhodesia;30;chromium ores and concentrates;;1974;590000
South Africa;30;chromium ores and concentrates;;1974;1876913
Soviet Union;30;chromium ores and concentrates;;1974;1950000
Sudan;30;chromium ores and concentrates;;1974;24543
Turkey;30;chromium ores and concentrates;;1974;666000
Vietnam;30;chromium ores and concentrates;;1974;
Yugoslavia;30;chromium ores and concentrates;;1974;400
Zimbabwe;30;chromium ores and concentrates;;1974;
Albania;30;chromium ores and concentrates;;1975;779000
Brazil;30;chromium ores and concentrates;;1975;172643
Colombia;30;chromium ores and concentrates;;1975;0
Cuba;30;chromium ores and concentrates;;1975;36088
Cyprus;30;chromium ores and concentrates;;1975;27623
Finland;30;chromium ores and concentrates;;1975;164593
Greece;30;chromium ores and concentrates;;1975;24528
India;30;chromium ores and concentrates;;1975;500294
Iran;30;chromium ores and concentrates;;1975;155456
Japan;30;chromium ores and concentrates;;1975;23149
Madagascar;30;chromium ores and concentrates;;1975;194127
New Caledonia;30;chromium ores and concentrates;;1975;1050
Pakistan;30;chromium ores and concentrates;;1975;10544
Philippines;30;chromium ores and concentrates;;1975;520038
Rhodesia;30;chromium ores and concentrates;;1975;875668
South Africa;30;chromium ores and concentrates;;1975;2075378
Soviet Union;30;chromium ores and concentrates;;1975;2080000
Sudan;30;chromium ores and concentrates;;1975;36578
Turkey;30;chromium ores and concentrates;;1975;707875
Vietnam;30;chromium ores and concentrates;;1975;
Yugoslavia;30;chromium ores and concentrates;;1975;1700
Zimbabwe;30;chromium ores and concentrates;;1975;
Albania;30;chromium ores and concentrates;;1976;830000
