Country;commodity_code;commodity_desc;Sub-commodity;year;value
Austria;62;graphite;;2012;18840
Brazil;62;graphite;;2012;88110
Canada;62;graphite;;2012;20000
China;62;graphite;;2012;800000
Germany;62;graphite;;2012;109
India;62;graphite;;2012;134735
Korea, Dem. P.R. of;62;graphite;;2012;30000
Madagascar;62;graphite;;2012;3629
Mexico;62;graphite;;2012;7520
Mozambique;62;graphite;;2012;
Namibia;62;graphite;;2012;
Norway;62;graphite;;2012;6992
Pakistan;62;graphite;;2012;912
Russia;62;graphite;;2012;14000
Sri Lanka;62;graphite;;2012;4173
Sweden;62;graphite;;2012;0
Turkey;62;graphite;;2012;31500
Ukraine;62;graphite;;2012;4600
Zimbabwe;62;graphite;;2012;7022
Austria;62;graphite;;2013;17190
Brazil;62;graphite;;2013;91908
Canada;62;graphite;;2013;20000
China;62;graphite;;2013;840000
Germany;62;graphite;;2013;269
India;62;graphite;;2013;146390
Korea, Dem. P.R. of;62;graphite;;2013;30000
Madagascar;62;graphite;;2013;3833
Mexico;62;graphite;;2013;7024
Mozambique;62;graphite;;2013;0
Namibia;62;graphite;;2013;0
Norway;62;graphite;;2013;6207
Pakistan;62;graphite;;2013;6188
Russia;62;graphite;;2013;14000
Sri Lanka;62;graphite;;2013;3143
Sweden;62;graphite;;2013;0
Turkey;62;graphite;;2013;28740
Ukraine;62;graphite;;2013;6900
Zimbabwe;62;graphite;;2013;6934
Austria;62;graphite;;2014;23240
Brazil;62;graphite;;2014;87026
Canada;62;graphite;;2014;20000
China;62;graphite;;2014;900000
Germany;62;graphite;;2014;517
India;62;graphite;;2014;116712
Korea, Dem. P.R. of;62;graphite;;2014;60000
Madagascar;62;graphite;;2014;699
Mexico;62;graphite;;2014;9160
Mozambique;62;graphite;;2014;0
Namibia;62;graphite;;2014;0
Norway;62;graphite;;2014;8266
Pakistan;62;graphite;;2014;14279
Russia;62;graphite;;2014;14000
Sri Lanka;62;graphite;;2014;3361
Sweden;62;graphite;;2014;0
Turkey;62;graphite;;2014;3850
Ukraine;62;graphite;;2014;13800
Zimbabwe;62;graphite;;2014;6853
