Country;commodity_code;commodity_desc;Sub-commodity;year;value
Argentina;99;molybdenum mine;;2012;4850
Armenia;99;molybdenum mine;;2012;5446
Brazil;99;molybdenum mine;;2012;185
Canada;99;molybdenum mine;;2012;8954
Chile;99;molybdenum mine;;2012;34793
China;99;molybdenum mine;;2012;120870
Iran;99;molybdenum mine;;2012;3512
Kazakhstan;99;molybdenum mine;;2012;
Kyrgyzstan;99;molybdenum mine;;2012;
Mexico;99;molybdenum mine;;2012;11366
Mongolia;99;molybdenum mine;;2012;1904
Norway;99;molybdenum mine;;2012;4
Peru;99;molybdenum mine;;2012;16790
Poland;99;molybdenum mine;;2012;
Russia;99;molybdenum mine;;2012;4838
Turkey;99;molybdenum mine;;2012;0
USA;99;molybdenum mine;;2012;61500
Uzbekistan;99;molybdenum mine;;2012;560
Argentina;99;molybdenum mine;;2013;3829
Armenia;99;molybdenum mine;;2013;5934
Brazil;99;molybdenum mine;;2013;200
Canada;99;molybdenum mine;;2013;8952
Chile;99;molybdenum mine;;2013;38433
China;99;molybdenum mine;;2013;122265
Iran;99;molybdenum mine;;2013;3470
Kazakhstan;99;molybdenum mine;;2013;
Kyrgyzstan;99;molybdenum mine;;2013;
Mexico;99;molybdenum mine;;2013;12562
Mongolia;99;molybdenum mine;;2013;1819
Norway;99;molybdenum mine;;2013;8
Peru;99;molybdenum mine;;2013;18140
Poland;99;molybdenum mine;;2013;1310
Russia;99;molybdenum mine;;2013;3605
Turkey;99;molybdenum mine;;2013;1
USA;99;molybdenum mine;;2013;61000
Uzbekistan;99;molybdenum mine;;2013;490
Argentina;99;molybdenum mine;;2014;1907
Armenia;99;molybdenum mine;;2014;6022
Brazil;99;molybdenum mine;;2014;200
Canada;99;molybdenum mine;;2014;8681
Chile;99;molybdenum mine;;2014;48898
China;99;molybdenum mine;;2014;128538
Iran;99;molybdenum mine;;2014;4000
Kazakhstan;99;molybdenum mine;;2014;
Kyrgyzstan;99;molybdenum mine;;2014;
Mexico;99;molybdenum mine;;2014;14370
Mongolia;99;molybdenum mine;;2014;1999
Norway;99;molybdenum mine;;2014;2
Peru;99;molybdenum mine;;2014;17018
Poland;99;molybdenum mine;;2014;1330
Russia;99;molybdenum mine;;2014;3114
Turkey;99;molybdenum mine;;2014;0
USA;99;molybdenum mine;;2014;68200
Uzbekistan;99;molybdenum mine;;2014;450
Argentina;99;molybdenum mine;;2015;1736
Armenia;99;molybdenum mine;;2015;5324
Brazil;99;molybdenum mine;;2015;200
Canada;99;molybdenum mine;;2015;1983
Chile;99;molybdenum mine;;2015;52398
China;99;molybdenum mine;;2015;135270
Iran;99;molybdenum mine;;2015;6705
Kazakhstan;99;molybdenum mine;;2015;0
Kyrgyzstan;99;molybdenum mine;;2015;
Mexico;99;molybdenum mine;;2015;11327
Mongolia;99;molybdenum mine;;2015;2557
Norway;99;molybdenum mine;;2015;1
Peru;99;molybdenum mine;;2015;20153
Poland;99;molybdenum mine;;2015;1360
Russia;99;molybdenum mine;;2015;3254
