Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;41;copper smelter;;1972;6700
Australia;41;copper smelter;;1972;145341
Austria;41;copper smelter;;1972;22693
Belgium;41;copper smelter;;1972;66000
Brazil;41;copper smelter;;1972;
Bulgaria;41;copper smelter;;1972;48000
Canada;41;copper smelter;;1972;473700
Chile;41;copper smelter;;1972;589900
China;41;copper smelter;;1972;135000
Czechoslovakia;41;copper smelter;;1972;
Finland;41;copper smelter;;1972;41500
France;41;copper smelter;;1972;6500
German Democratic Rep;41;copper smelter;;1972;20000
German Federal Republic;41;copper smelter;;1972;203500
Hungary;41;copper smelter;;1972;
India;41;copper smelter;;1972;10467
Japan;41;copper smelter;;1972;777700
Korea (Rep. of);41;copper smelter;;1972;3200
Korea, Dem. P.R. of;41;copper smelter;;1972;13000
Mexico;41;copper smelter;;1972;74236
Namibia;41;copper smelter;;1972;26100
Norway;41;copper smelter;;1972;32966
Peru;41;copper smelter;;1972;177120
Poland;41;copper smelter;;1972;134000
Portugal;41;copper smelter;;1972;
Rhodesia;41;copper smelter;;1972;30000
Romania;41;copper smelter;;1972;45000
South Africa;41;copper smelter;;1972;171700
Soviet Union;41;copper smelter;;1972;1030000
Spain;41;copper smelter;;1972;80120
Sweden;41;copper smelter;;1972;55400
Taiwan;41;copper smelter;;1972;4767
Turkey;41;copper smelter;;1972;18000
USA;41;copper smelter;;1972;1533499
Uganda;41;copper smelter;;1972;14100
Yugoslavia;41;copper smelter;;1972;130000
Zaire;41;copper smelter;;1972;427000
Zambia;41;copper smelter;;1972;698000
Zimbabwe;41;copper smelter;;1972;
Albania;41;copper smelter;;1973;6900
Australia;41;copper smelter;;1973;162568
Austria;41;copper smelter;;1973;22823
Belgium;41;copper smelter;;1973;66000
Brazil;41;copper smelter;;1973;
Bulgaria;41;copper smelter;;1973;53000
Canada;41;copper smelter;;1973;495000
Chile;41;copper smelter;;1973;556500
China;41;copper smelter;;1973;140000
Czechoslovakia;41;copper smelter;;1973;
Finland;41;copper smelter;;1973;48100
France;41;copper smelter;;1973;8800
German Democratic Rep;41;copper smelter;;1973;18000
German Federal Republic;41;copper smelter;;1973;232486
Hungary;41;copper smelter;;1973;
India;41;copper smelter;;1973;12011
Japan;41;copper smelter;;1973;1000500
Korea (Rep. of);41;copper smelter;;1973;9246
Korea, Dem. P.R. of;41;copper smelter;;1973;13000
Mexico;41;copper smelter;;1973;73034
Namibia;41;copper smelter;;1973;35400
Norway;41;copper smelter;;1973;34648
Peru;41;copper smelter;;1973;174029
Poland;41;copper smelter;;1973;152000
Portugal;41;copper smelter;;1973;
Rhodesia;41;copper smelter;;1973;30000
Romania;41;copper smelter;;1973;48000
South Africa;41;copper smelter;;1973;165500
Soviet Union;41;copper smelter;;1973;1060000
Spain;41;copper smelter;;1973;86721
Sweden;41;copper smelter;;1973;61900
Taiwan;41;copper smelter;;1973;6649
Turkey;41;copper smelter;;1973;25000
USA;41;copper smelter;;1973;1582097
Uganda;41;copper smelter;;1973;9600
Yugoslavia;41;copper smelter;;1973;138000
Zaire;41;copper smelter;;1973;460479
Zambia;41;copper smelter;;1973;683000
Zimbabwe;41;copper smelter;;1973;
Albania;41;copper smelter;;1974;7400
Australia;41;copper smelter;;1974;196129
Austria;41;copper smelter;;1974;26713
Belgium;41;copper smelter;;1974;78500
Brazil;41;copper smelter;;1974;
Bulgaria;41;copper smelter;;1974;55000
Canada;41;copper smelter;;1974;515600
Chile;41;copper smelter;;1974;724300
China;41;copper smelter;;1974;150000
Czechoslovakia;41;copper smelter;;1974;11000
Finland;41;copper smelter;;1974;48400
France;41;copper smelter;;1974;43800
German Democratic Rep;41;copper smelter;;1974;18000
German Federal Republic;41;copper smelter;;1974;244671
Hungary;41;copper smelter;;1974;
India;41;copper smelter;;1974;11773
Japan;41;copper smelter;;1974;952500
Korea (Rep. of);41;copper smelter;;1974;12399
Korea, Dem. P.R. of;41;copper smelter;;1974;14000
Mexico;41;copper smelter;;1974;78310
Namibia;41;copper smelter;;1974;45800
Norway;41;copper smelter;;1974;31737
Peru;41;copper smelter;;1974;181142
Poland;41;copper smelter;;1974;185000
Portugal;41;copper smelter;;1974;
Rhodesia;41;copper smelter;;1974;30000
Romania;41;copper smelter;;1974;48000
South Africa;41;copper smelter;;1974;172600
Soviet Union;41;copper smelter;;1974;1060000
Spain;41;copper smelter;;1974;105365
Sweden;41;copper smelter;;1974;59900
Taiwan;41;copper smelter;;1974;9859
