Country;commodity_code;commodity_desc;Sub-commodity;year;value
Algeria;73;steel crude;;1972;
Argentina;73;steel crude;;1972;1869000
Australia;73;steel crude;;1972;6743000
Austria;73;steel crude;;1972;4070000
Bangladesh;73;steel crude;;1972;
Belgium;73;steel crude;;1972;14537000
Brazil;73;steel crude;;1972;6518000
Bulgaria;73;steel crude;;1972;2121000
Canada;73;steel crude;;1972;11860000
Chile;73;steel crude;;1972;581000
China;73;steel crude;;1972;23000000
Colombia;73;steel crude;;1972;275000
Cuba;73;steel crude;;1972;
Czechoslovakia;73;steel crude;;1972;12727000
Denmark;73;steel crude;;1972;505000
Egypt;73;steel crude;;1972;3554000
Finland;73;steel crude;;1972;1456000
France;73;steel crude;;1972;24054000
German Democratic Rep;73;steel crude;;1972;5670000
German Federal Republic;73;steel crude;;1972;43705000
Greece;73;steel crude;;1972;671000
Hong Kong;73;steel crude;;1972;
Hungary;73;steel crude;;1972;3325000
India;73;steel crude;;1972;6842000
Indonesia;73;steel crude;;1972;
Iran;73;steel crude;;1972;
Ireland, Republic of;73;steel crude;;1972;77000
Israel;73;steel crude;;1972;120000
Italy;73;steel crude;;1972;19815000
Japan;73;steel crude;;1972;96900000
Jordan;73;steel crude;;1972;
Korea (Rep. of);73;steel crude;;1972;585000
Korea, Dem. P.R. of;73;steel crude;;1972;2500000
Luxembourg;73;steel crude;;1972;5457000
Malaysia;73;steel crude;;1972;
Mexico;73;steel crude;;1972;4413000
Myanmar;73;steel crude;;1972;20000
Netherlands;73;steel crude;;1972;5585000
New Zealand;73;steel crude;;1972;
Nigeria;73;steel crude;;1972;
Norway;73;steel crude;;1972;916000
Peru;73;steel crude;;1972;181000
Philippines;73;steel crude;;1972;
Poland;73;steel crude;;1972;13746000
Portugal;73;steel crude;;1972;425000
Qatar;73;steel crude;;1972;
Rhodesia;73;steel crude;;1972;200000
Romania;73;steel crude;;1972;7401000
Saudi Arabia;73;steel crude;;1972;
Singapore;73;steel crude;;1972;
South Africa;73;steel crude;;1972;5340000
Soviet Union;73;steel crude;;1972;125589000
Spain;73;steel crude;;1972;9530000
Sweden;73;steel crude;;1972;5249000
Switzerland;73;steel crude;;1972;543000
Syria;73;steel crude;;1972;
Taiwan;73;steel crude;;1972;457000
Thailand;73;steel crude;;1972;182000
Trinidad & Tobago;73;steel crude;;1972;
Tunisia;73;steel crude;;1972;
Turkey;73;steel crude;;1972;1448000
USA;73;steel crude;;1972;120874000
United Kingdom;73;steel crude;;1972;25293000
Uruguay;73;steel crude;;1972;13000
Venezuela;73;steel crude;;1972;1128000
Vietnam;73;steel crude;;1972;
Yugoslavia;73;steel crude;;1972;2588000
Zimbabwe;73;steel crude;;1972;
