Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;37;cobalt refined;;1982;
Belgium;37;cobalt refined;;1982;
Brazil;37;cobalt refined;;1982;
Canada;37;cobalt refined;;1982;784
China;37;cobalt refined;;1982;
Czechoslovakia;37;cobalt refined;;1982;
Finland;37;cobalt refined;;1982;2181
France;37;cobalt refined;;1982;501
German Federal Republic;37;cobalt refined;;1982;150
Germany;37;cobalt refined;;1982;
Japan;37;cobalt refined;;1982;1942
Norway;37;cobalt refined;;1982;991
South Africa;37;cobalt refined;;1982;
Soviet Union;37;cobalt refined;;1982;4300
USA;37;cobalt refined;;1982;461
Zaire;37;cobalt refined;;1982;5573
Zambia;37;cobalt refined;;1982;2446
Albania;37;cobalt refined;;1983;
Belgium;37;cobalt refined;;1983;
Brazil;37;cobalt refined;;1983;
Canada;37;cobalt refined;;1983;1153
China;37;cobalt refined;;1983;270
Czechoslovakia;37;cobalt refined;;1983;
Finland;37;cobalt refined;;1983;1453
France;37;cobalt refined;;1983;131
German Federal Republic;37;cobalt refined;;1983;
Germany;37;cobalt refined;;1983;
Japan;37;cobalt refined;;1983;1371
Norway;37;cobalt refined;;1983;879
South Africa;37;cobalt refined;;1983;300
Soviet Union;37;cobalt refined;;1983;4500
USA;37;cobalt refined;;1983;93
Zaire;37;cobalt refined;;1983;5370
Zambia;37;cobalt refined;;1983;2407
Albania;37;cobalt refined;;1984;
Belgium;37;cobalt refined;;1984;
Brazil;37;cobalt refined;;1984;
Canada;37;cobalt refined;;1984;1909
China;37;cobalt refined;;1984;270
Czechoslovakia;37;cobalt refined;;1984;
Finland;37;cobalt refined;;1984;2384
France;37;cobalt refined;;1984;116
German Federal Republic;37;cobalt refined;;1984;
Germany;37;cobalt refined;;1984;
Japan;37;cobalt refined;;1984;905
Norway;37;cobalt refined;;1984;1191
South Africa;37;cobalt refined;;1984;500
Soviet Union;37;cobalt refined;;1984;4700
USA;37;cobalt refined;;1984;0
Zaire;37;cobalt refined;;1984;9075
Zambia;37;cobalt refined;;1984;3472
Albania;37;cobalt refined;;1985;
Belgium;37;cobalt refined;;1985;
Brazil;37;cobalt refined;;1985;
Canada;37;cobalt refined;;1985;2054
China;37;cobalt refined;;1985;270
Czechoslovakia;37;cobalt refined;;1985;
Finland;37;cobalt refined;;1985;2230
France;37;cobalt refined;;1985;123
German Federal Republic;37;cobalt refined;;1985;
Germany;37;cobalt refined;;1985;
Japan;37;cobalt refined;;1985;1320
Norway;37;cobalt refined;;1985;1525
South Africa;37;cobalt refined;;1985;500
Soviet Union;37;cobalt refined;;1985;4800
USA;37;cobalt refined;;1985;0
