Country;commodity_code;commodity_desc;Sub-commodity;year;value
Algeria;153;zinc mine;;1992;4000
Argentina;153;zinc mine;;1992;40978
Armenia;153;zinc mine;;1992;
Australia;153;zinc mine;;1992;1014000
Austria;153;zinc mine;;1992;15787
Bolivia;153;zinc mine;;1992;143936
Bosnia & Herzegovina;153;zinc mine;;1992;2000
Brazil;153;zinc mine;;1992;149000
Bulgaria;153;zinc mine;;1992;29400
Canada;153;zinc mine;;1992;1324675
Chile;153;zinc mine;;1992;29730
China;153;zinc mine;;1992;758100
Congo, Democratic Republic;153;zinc mine;;1992;12800
Czech Republic;153;zinc mine;;1992;0
Czechoslovakia;153;zinc mine;;1992;6200
Finland;153;zinc mine;;1992;32817
France;153;zinc mine;;1992;16500
Georgia;153;zinc mine;;1992;2000
Germany;153;zinc mine;;1992;14300
Greece;153;zinc mine;;1992;26200
Honduras;153;zinc mine;;1992;32702
India;153;zinc mine;;1992;152800
Iran;153;zinc mine;;1992;65000
Ireland, Republic of;153;zinc mine;;1992;194100
Italy;153;zinc mine;;1992;31000
Japan;153;zinc mine;;1992;134510
Kazakhstan;153;zinc mine;;1992;258000
Korea (Rep. of);153;zinc mine;;1992;21883
Korea, Dem. P.R. of;153;zinc mine;;1992;120000
Laos;153;zinc mine;;1992;
Mexico;153;zinc mine;;1992;289119
Mongolia;153;zinc mine;;1992;
Morocco;153;zinc mine;;1992;22462
Myanmar;153;zinc mine;;1992;1000
Namibia;153;zinc mine;;1992;36192
North Macedonia;153;zinc mine;;1992;22000
Norway;153;zinc mine;;1992;21498
Peru;153;zinc mine;;1992;602614
Poland;153;zinc mine;;1992;151700
Romania;153;zinc mine;;1992;25800
Russia;153;zinc mine;;1992;158000
Saudi Arabia;153;zinc mine;;1992;
Serbia and Montenegro;153;zinc mine;;1992;19781
Slovakia;153;zinc mine;;1992;0
Slovenia;153;zinc mine;;1992;1550
South Africa;153;zinc mine;;1992;71928
Spain;153;zinc mine;;1992;204737
Sweden;153;zinc mine;;1992;171539
Thailand;153;zinc mine;;1992;75300
Tunisia;153;zinc mine;;1992;2200
Turkey;153;zinc mine;;1992;27500
USA;153;zinc mine;;1992;551667
Uzbekistan;153;zinc mine;;1992;30000
Vietnam;153;zinc mine;;1992;15000
Zambia;153;zinc mine;;1992;19200
Algeria;153;zinc mine;;1993;3600
Argentina;153;zinc mine;;1993;31395
Armenia;153;zinc mine;;1993;
Australia;153;zinc mine;;1993;990000
Austria;153;zinc mine;;1993;20014
Bolivia;153;zinc mine;;1993;122638
Bosnia & Herzegovina;153;zinc mine;;1993;350
Brazil;153;zinc mine;;1993;171800
Bulgaria;153;zinc mine;;1993;32000
Canada;153;zinc mine;;1993;1004367
Chile;153;zinc mine;;1993;29435
China;153;zinc mine;;1993;729300
Congo, Democratic Republic;153;zinc mine;;1993;4100
Czech Republic;153;zinc mine;;1993;1500
Czechoslovakia;153;zinc mine;;1993;
Finland;153;zinc mine;;1993;22529
France;153;zinc mine;;1993;13800
Georgia;153;zinc mine;;1993;2000
Germany;153;zinc mine;;1993;
Greece;153;zinc mine;;1993;22000
Honduras;153;zinc mine;;1993;24276
India;153;zinc mine;;1993;156300
Iran;153;zinc mine;;1993;60800
Ireland, Republic of;153;zinc mine;;1993;194100
Italy;153;zinc mine;;1993;7100
Japan;153;zinc mine;;1993;118599
Kazakhstan;153;zinc mine;;1993;218800
Korea (Rep. of);153;zinc mine;;1993;13808
Korea, Dem. P.R. of;153;zinc mine;;1993;120000
Laos;153;zinc mine;;1993;
Mexico;153;zinc mine;;1993;366432
Mongolia;153;zinc mine;;1993;
Morocco;153;zinc mine;;1993;65866
Myanmar;153;zinc mine;;1993;850
Namibia;153;zinc mine;;1993;36355
North Macedonia;153;zinc mine;;1993;24100
Norway;153;zinc mine;;1993;15093
Peru;153;zinc mine;;1993;664552
Poland;153;zinc mine;;1993;150900
Romania;153;zinc mine;;1993;28017
Russia;153;zinc mine;;1993;154000
Saudi Arabia;153;zinc mine;;1993;
Serbia and Montenegro;153;zinc mine;;1993;9704
Slovakia;153;zinc mine;;1993;2900
Slovenia;153;zinc mine;;1993;2000
South Africa;153;zinc mine;;1993;77096
Spain;153;zinc mine;;1993;169892
Sweden;153;zinc mine;;1993;168617
Thailand;153;zinc mine;;1993;69500
Tunisia;153;zinc mine;;1993;1320
Turkey;153;zinc mine;;1993;32500
USA;153;zinc mine;;1993;513075
Uzbekistan;153;zinc mine;;1993;30000
Vietnam;153;zinc mine;;1993;12000
Zambia;153;zinc mine;;1993;19700
Algeria;153;zinc mine;;1994;5000
Argentina;153;zinc mine;;1994;26933
Armenia;153;zinc mine;;1994;
Australia;153;zinc mine;;1994;955000
Austria;153;zinc mine;;1994;
Bolivia;153;zinc mine;;1994;100742
Bosnia & Herzegovina;153;zinc mine;;1994;300
Brazil;153;zinc mine;;1994;177585
Bulgaria;153;zinc mine;;1994;30000
Canada;153;zinc mine;;1994;1010712
Chile;153;zinc mine;;1994;31038
China;153;zinc mine;;1994;990300
Congo, Democratic Republic;153;zinc mine;;1994;500
Czech Republic;153;zinc mine;;1994;100
Czechoslovakia;153;zinc mine;;1994;
Finland;153;zinc mine;;1994;16900
France;153;zinc mine;;1994;
Georgia;153;zinc mine;;1994;2000
Germany;153;zinc mine;;1994;
Greece;153;zinc mine;;1994;17605
Honduras;153;zinc mine;;1994;23611
India;153;zinc mine;;1994;147300
Iran;153;zinc mine;;1994;72900
Ireland, Republic of;153;zinc mine;;1994;194000
Italy;153;zinc mine;;1994;22906
Japan;153;zinc mine;;1994;100653
Kazakhstan;153;zinc mine;;1994;148070
Korea (Rep. of);153;zinc mine;;1994;7122
Korea, Dem. P.R. of;153;zinc mine;;1994;90000
Laos;153;zinc mine;;1994;
Mexico;153;zinc mine;;1994;358953
Mongolia;153;zinc mine;;1994;
Morocco;153;zinc mine;;1994;78561
Myanmar;153;zinc mine;;1994;1316
Namibia;153;zinc mine;;1994;33414
North Macedonia;153;zinc mine;;1994;21500
Norway;153;zinc mine;;1994;15586
Peru;153;zinc mine;;1994;690017
Poland;153;zinc mine;;1994;151000
Romania;153;zinc mine;;1994;35357
Russia;153;zinc mine;;1994;147000
Saudi Arabia;153;zinc mine;;1994;0
Serbia and Montenegro;153;zinc mine;;1994;1609
Slovakia;153;zinc mine;;1994;
Slovenia;153;zinc mine;;1994;1000
South Africa;153;zinc mine;;1994;76361
Spain;153;zinc mine;;1994;151370
Sweden;153;zinc mine;;1994;159858
Thailand;153;zinc mine;;1994;59400
Tunisia;153;zinc mine;;1994;12900
Turkey;153;zinc mine;;1994;34000
USA;153;zinc mine;;1994;597576
Uzbekistan;153;zinc mine;;1994;31000
Vietnam;153;zinc mine;;1994;11900
Zambia;153;zinc mine;;1994;1000
Algeria;153;zinc mine;;1995;3600
Argentina;153;zinc mine;;1995;32104
Armenia;153;zinc mine;;1995;
Australia;153;zinc mine;;1995;937000
Austria;153;zinc mine;;1995;
Bolivia;153;zinc mine;;1995;146131
Bosnia & Herzegovina;153;zinc mine;;1995;
Brazil;153;zinc mine;;1995;188472
Bulgaria;153;zinc mine;;1995;23600
Canada;153;zinc mine;;1995;1121172
