Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;119;rare earth minerals;Monazite;1982;9562
Australia;119;rare earth minerals;Xenotime;1982;46
Brazil;119;rare earth minerals;Monazite;1982;1814
China;119;rare earth minerals;;1982;6000
India;119;rare earth minerals;Monazite;1982;4000
Madagascar;119;rare earth minerals;Bastnaesite;1982;23
Malaysia;119;rare earth minerals;Monazite;1982;582
Malaysia;119;rare earth minerals;Xenotime;1982;76
South Africa;119;rare earth minerals;Monazite;1982;
Soviet Union;119;rare earth minerals;Monazite;1982;
Sri Lanka;119;rare earth minerals;Monazite;1982;368
Thailand;119;rare earth minerals;Monazite;1982;162
Thailand;119;rare earth minerals;Xenotime;1982;46
USA;119;rare earth minerals;Bastnaesite;1982;17501
USA;119;rare earth minerals;Monazite;1982;400
Zaire;119;rare earth minerals;Monazite;1982;32
Australia;119;rare earth minerals;Monazite;1983;15141
Australia;119;rare earth minerals;Xenotime;1983;24
Brazil;119;rare earth minerals;Monazite;1983;5256
China;119;rare earth minerals;;1983;6000
India;119;rare earth minerals;Monazite;1983;4000
Madagascar;119;rare earth minerals;Bastnaesite;1983;25
Malaysia;119;rare earth minerals;Monazite;1983;1034
Malaysia;119;rare earth minerals;Xenotime;1983;10
South Africa;119;rare earth minerals;Monazite;1983;
Soviet Union;119;rare earth minerals;Monazite;1983;
Sri Lanka;119;rare earth minerals;Monazite;1983;292
Thailand;119;rare earth minerals;Monazite;1983;257
Thailand;119;rare earth minerals;Xenotime;1983;38
USA;119;rare earth minerals;Bastnaesite;1983;17083
USA;119;rare earth minerals;Monazite;1983;400
Zaire;119;rare earth minerals;Monazite;1983;15
Australia;119;rare earth minerals;Monazite;1984;16260
Australia;119;rare earth minerals;Xenotime;1984;66
Brazil;119;rare earth minerals;Monazite;1984;3622
China;119;rare earth minerals;;1984;8000
India;119;rare earth minerals;Monazite;1984;4000
Madagascar;119;rare earth minerals;Bastnaesite;1984;25
Malaysia;119;rare earth minerals;Monazite;1984;1095
Malaysia;119;rare earth minerals;Xenotime;1984;68
South Africa;119;rare earth minerals;Monazite;1984;
Soviet Union;119;rare earth minerals;Monazite;1984;
Sri Lanka;119;rare earth minerals;Monazite;1984;147
Thailand;119;rare earth minerals;Monazite;1984;298
Thailand;119;rare earth minerals;Xenotime;1984;28
USA;119;rare earth minerals;Bastnaesite;1984;25311
USA;119;rare earth minerals;Monazite;1984;450
Zaire;119;rare earth minerals;Monazite;1984;2
Australia;119;rare earth minerals;Monazite;1985;18735
Australia;119;rare earth minerals;Xenotime;1985;46
Brazil;119;rare earth minerals;Monazite;1985;3953
China;119;rare earth minerals;;1985;10000
India;119;rare earth minerals;Monazite;1985;4000
