Country;commodity_code;commodity_desc;Sub-commodity;year;value
Bulgaria;99;molybdenum mine;;1982;170
Canada;99;molybdenum mine;;1982;13961
Chile;99;molybdenum mine;;1982;20048
China;99;molybdenum mine;;1982;2000
Iran;99;molybdenum mine;;1982;
Japan;99;molybdenum mine;;1982;103
Korea (Rep. of);99;molybdenum mine;;1982;363
Mexico;99;molybdenum mine;;1982;5190
Mongolia;99;molybdenum mine;;1982;800
Niger;99;molybdenum mine;;1982;42
Peru;99;molybdenum mine;;1982;2899
Philippines;99;molybdenum mine;;1982;80
Soviet Union;99;molybdenum mine;;1982;11000
Turkey;99;molybdenum mine;;1982;100
USA;99;molybdenum mine;;1982;38275
Bulgaria;99;molybdenum mine;;1983;190
Canada;99;molybdenum mine;;1983;10194
Chile;99;molybdenum mine;;1983;15264
China;99;molybdenum mine;;1983;2000
Iran;99;molybdenum mine;;1983;
Japan;99;molybdenum mine;;1983;102
Korea (Rep. of);99;molybdenum mine;;1983;143
Mexico;99;molybdenum mine;;1983;5866
Mongolia;99;molybdenum mine;;1983;950
Niger;99;molybdenum mine;;1983;83
Peru;99;molybdenum mine;;1983;2633
Philippines;99;molybdenum mine;;1983;40
Soviet Union;99;molybdenum mine;;1983;11100
Turkey;99;molybdenum mine;;1983;100
USA;99;molybdenum mine;;1983;15238
Bulgaria;99;molybdenum mine;;1984;190
Canada;99;molybdenum mine;;1984;11557
Chile;99;molybdenum mine;;1984;16861
China;99;molybdenum mine;;1984;2000
Iran;99;molybdenum mine;;1984;500
Japan;99;molybdenum mine;;1984;157
Korea (Rep. of);99;molybdenum mine;;1984;159
Mexico;99;molybdenum mine;;1984;4054
Mongolia;99;molybdenum mine;;1984;1000
Niger;99;molybdenum mine;;1984;57
Peru;99;molybdenum mine;;1984;3085
Philippines;99;molybdenum mine;;1984;0
Soviet Union;99;molybdenum mine;;1984;11200
Turkey;99;molybdenum mine;;1984;100
USA;99;molybdenum mine;;1984;47021
Bulgaria;99;molybdenum mine;;1985;190
Canada;99;molybdenum mine;;1985;6950
Chile;99;molybdenum mine;;1985;18391
China;99;molybdenum mine;;1985;2000
Iran;99;molybdenum mine;;1985;500
Japan;99;molybdenum mine;;1985;100
Korea (Rep. of);99;molybdenum mine;;1985;335
Mexico;99;molybdenum mine;;1985;3761
Mongolia;99;molybdenum mine;;1985;1000
Niger;99;molybdenum mine;;1985;32
Peru;99;molybdenum mine;;1985;3833
Philippines;99;molybdenum mine;;1985;0
Soviet Union;99;molybdenum mine;;1985;11300
Turkey;99;molybdenum mine;;1985;100
USA;99;molybdenum mine;;1985;49173
Bulgaria;99;molybdenum mine;;1986;190
Canada;99;molybdenum mine;;1986;11251
Chile;99;molybdenum mine;;1986;16581
China;99;molybdenum mine;;1986;2000
Iran;99;molybdenum mine;;1986;900
Japan;99;molybdenum mine;;1986;100
Korea (Rep. of);99;molybdenum mine;;1986;317
Mexico;99;molybdenum mine;;1986;3350
Mongolia;99;molybdenum mine;;1986;1519
Niger;99;molybdenum mine;;1986;20
Peru;99;molybdenum mine;;1986;3491
Philippines;99;molybdenum mine;;1986;0
Soviet Union;99;molybdenum mine;;1986;11400
Turkey;99;molybdenum mine;;1986;100
USA;99;molybdenum mine;;1986;42627
Bulgaria;99;molybdenum mine;;1987;200
Canada;99;molybdenum mine;;1987;12509
Chile;99;molybdenum mine;;1987;16941
China;99;molybdenum mine;;1987;12000
Iran;99;molybdenum mine;;1987;874
Japan;99;molybdenum mine;;1987;100
Korea (Rep. of);99;molybdenum mine;;1987;327
Mexico;99;molybdenum mine;;1987;4400
Mongolia;99;molybdenum mine;;1987;1526
Niger;99;molybdenum mine;;1987;8
Peru;99;molybdenum mine;;1987;3352
Philippines;99;molybdenum mine;;1987;
Soviet Union;99;molybdenum mine;;1987;11500
Turkey;99;molybdenum mine;;1987;
USA;99;molybdenum mine;;1987;34073
Bulgaria;99;molybdenum mine;;1988;200
Canada;99;molybdenum mine;;1988;12494
Chile;99;molybdenum mine;;1988;15515
China;99;molybdenum mine;;1988;14400
Iran;99;molybdenum mine;;1988;1181
Japan;99;molybdenum mine;;1988;100
Korea (Rep. of);99;molybdenum mine;;1988;144
Mexico;99;molybdenum mine;;1988;4456
Mongolia;99;molybdenum mine;;1988;1547
Niger;99;molybdenum mine;;1988;15
Peru;99;molybdenum mine;;1988;2382
Philippines;99;molybdenum mine;;1988;
Soviet Union;99;molybdenum mine;;1988;17000
Turkey;99;molybdenum mine;;1988;100
USA;99;molybdenum mine;;1988;43051
Bulgaria;99;molybdenum mine;;1989;190
Canada;99;molybdenum mine;;1989;14073
Chile;99;molybdenum mine;;1989;16550
China;99;molybdenum mine;;1989;15700
