Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;41;copper smelter;;1982;12000
Australia;41;copper smelter;;1982;175536
Belgium;41;copper smelter;;1982;2500
Brazil;41;copper smelter;;1982;4812
Bulgaria;41;copper smelter;;1982;62000
Canada;41;copper smelter;;1982;380798
Chile;41;copper smelter;;1982;1046800
China;41;copper smelter;;1982;205000
Czechoslovakia;41;copper smelter;;1982;30317
Finland;41;copper smelter;;1982;66333
German Democratic Rep;41;copper smelter;;1982;17000
German Federal Republic;41;copper smelter;;1982;161800
Germany;41;copper smelter;;1982;
Hungary;41;copper smelter;;1982;2639
India;41;copper smelter;;1982;32585
Iran;41;copper smelter;;1982;18000
Japan;41;copper smelter;;1982;1046300
Korea (Rep. of);41;copper smelter;;1982;119400
Korea, Dem. P.R. of;41;copper smelter;;1982;30000
Mexico;41;copper smelter;;1982;77373
Namibia;41;copper smelter;;1982;49500
Norway;41;copper smelter;;1982;24358
Oman;41;copper smelter;;1982;
Peru;41;copper smelter;;1982;323200
Philippines;41;copper smelter;;1982;0
Poland;41;copper smelter;;1982;360000
Portugal;41;copper smelter;;1982;1300
Romania;41;copper smelter;;1982;40000
South Africa;41;copper smelter;;1982;191800
Soviet Union;41;copper smelter;;1982;1130000
Spain;41;copper smelter;;1982;109000
Sweden;41;copper smelter;;1982;72504
Taiwan;41;copper smelter;;1982;47500
Turkey;41;copper smelter;;1982;25683
USA;41;copper smelter;;1982;975695
Yugoslavia;41;copper smelter;;1982;84013
Zaire;41;copper smelter;;1982;469406
Zambia;41;copper smelter;;1982;584790
Zimbabwe;41;copper smelter;;1982;30500
Albania;41;copper smelter;;1983;12000
Australia;41;copper smelter;;1983;173619
Belgium;41;copper smelter;;1983;2800
Brazil;41;copper smelter;;1983;63083
Bulgaria;41;copper smelter;;1983;60000
Canada;41;copper smelter;;1983;405723
Chile;41;copper smelter;;1983;1058900
China;41;copper smelter;;1983;195000
Czechoslovakia;41;copper smelter;;1983;33019
Finland;41;copper smelter;;1983;74455
German Democratic Rep;41;copper smelter;;1983;17000
German Federal Republic;41;copper smelter;;1983;159100
Germany;41;copper smelter;;1983;
Hungary;41;copper smelter;;1983;2765
India;41;copper smelter;;1983;33992
Iran;41;copper smelter;;1983;8500
Japan;41;copper smelter;;1983;1061929
Korea (Rep. of);41;copper smelter;;1983;124000
Korea, Dem. P.R. of;41;copper smelter;;1983;30000
Mexico;41;copper smelter;;1983;91994
Namibia;41;copper smelter;;1983;54200
Norway;41;copper smelter;;1983;25658
Oman;41;copper smelter;;1983;
Peru;41;copper smelter;;1983;295900
Philippines;41;copper smelter;;1983;57600
Poland;41;copper smelter;;1983;357000
Portugal;41;copper smelter;;1983;400
Romania;41;copper smelter;;1983;40200
South Africa;41;copper smelter;;1983;192300
Soviet Union;41;copper smelter;;1983;1120000
Spain;41;copper smelter;;1983;84000
Sweden;41;copper smelter;;1983;78756
Taiwan;41;copper smelter;;1983;37900
Turkey;41;copper smelter;;1983;19113
USA;41;copper smelter;;1983;927739
Yugoslavia;41;copper smelter;;1983;86833
Zaire;41;copper smelter;;1983;468658
Zambia;41;copper smelter;;1983;562722
Zimbabwe;41;copper smelter;;1983;31200
Albania;41;copper smelter;;1984;12600
Australia;41;copper smelter;;1984;179822
Belgium;41;copper smelter;;1984;500
Brazil;41;copper smelter;;1984;61334
Bulgaria;41;copper smelter;;1984;70000
Canada;41;copper smelter;;1984;469977
Chile;41;copper smelter;;1984;1098300
China;41;copper smelter;;1984;220000
Czechoslovakia;41;copper smelter;;1984;33000
Finland;41;copper smelter;;1984;83266
German Democratic Rep;41;copper smelter;;1984;14000
German Federal Republic;41;copper smelter;;1984;148800
Germany;41;copper smelter;;1984;
Hungary;41;copper smelter;;1984;3050
India;41;copper smelter;;1984;40400
Iran;41;copper smelter;;1984;47900
Japan;41;copper smelter;;1984;928974
Korea (Rep. of);41;copper smelter;;1984;100200
Korea, Dem. P.R. of;41;copper smelter;;1984;25000
Mexico;41;copper smelter;;1984;80304
Namibia;41;copper smelter;;1984;48600
Norway;41;copper smelter;;1984;36821
Oman;41;copper smelter;;1984;21300
Peru;41;copper smelter;;1984;331136
Philippines;41;copper smelter;;1984;109200
Poland;41;copper smelter;;1984;365000
Portugal;41;copper smelter;;1984;1300
Romania;41;copper smelter;;1984;38000
South Africa;41;copper smelter;;1984;180800
Soviet Union;41;copper smelter;;1984;1120000
Spain;41;copper smelter;;1984;88200
Sweden;41;copper smelter;;1984;79775
Taiwan;41;copper smelter;;1984;61700
Turkey;41;copper smelter;;1984;32023
USA;41;copper smelter;;1984;1014124
Yugoslavia;41;copper smelter;;1984;84657
Zaire;41;copper smelter;;1984;465549
Zambia;41;copper smelter;;1984;531945
Zimbabwe;41;copper smelter;;1984;24200
Albania;41;copper smelter;;1985;11000
Australia;41;copper smelter;;1985;167669
Belgium;41;copper smelter;;1985;900
Brazil;41;copper smelter;;1985;93880
Bulgaria;41;copper smelter;;1985;50000
Canada;41;copper smelter;;1985;489649
Chile;41;copper smelter;;1985;1088500
China;41;copper smelter;;1985;265000
Czechoslovakia;41;copper smelter;;1985;33400
Finland;41;copper smelter;;1985;71285
German Democratic Rep;41;copper smelter;;1985;63500
German Federal Republic;41;copper smelter;;1985;152400
Germany;41;copper smelter;;1985;
Hungary;41;copper smelter;;1985;3318
India;41;copper smelter;;1985;33557
Iran;41;copper smelter;;1985;40000
Japan;41;copper smelter;;1985;932560
Korea (Rep. of);41;copper smelter;;1985;112700
Korea, Dem. P.R. of;41;copper smelter;;1985;30000
Mexico;41;copper smelter;;1985;75758
Namibia;41;copper smelter;;1985;47611
Norway;41;copper smelter;;1985;37828
Oman;41;copper smelter;;1985;18800
Peru;41;copper smelter;;1985;354021
Philippines;41;copper smelter;;1985;133826
Poland;41;copper smelter;;1985;380000
Portugal;41;copper smelter;;1985;1000
Romania;41;copper smelter;;1985;39871
South Africa;41;copper smelter;;1985;168400
Soviet Union;41;copper smelter;;1985;1140000
Spain;41;copper smelter;;1985;88000
Sweden;41;copper smelter;;1985;74668
Taiwan;41;copper smelter;;1985;60600
Turkey;41;copper smelter;;1985;33884
USA;41;copper smelter;;1985;940681
Yugoslavia;41;copper smelter;;1985;137073
Zaire;41;copper smelter;;1985;471536
Zambia;41;copper smelter;;1985;544176
Zimbabwe;41;copper smelter;;1985;24400
Albania;41;copper smelter;;1986;13000
Australia;41;copper smelter;;1986;169622
Belgium;41;copper smelter;;1986;900
Brazil;41;copper smelter;;1986;115990
Bulgaria;41;copper smelter;;1986;60000
Canada;41;copper smelter;;1986;450219
Chile;41;copper smelter;;1986;1123900
China;41;copper smelter;;1986;350000
Czechoslovakia;41;copper smelter;;1986;31686
Finland;41;copper smelter;;1986;90085
German Democratic Rep;41;copper smelter;;1986;23800
German Federal Republic;41;copper smelter;;1986;161900
Germany;41;copper smelter;;1986;
Hungary;41;copper smelter;;1986;3552
India;41;copper smelter;;1986;39291
Iran;41;copper smelter;;1986;50000
Japan;41;copper smelter;;1986;962128
Korea (Rep. of);41;copper smelter;;1986;123200
Korea, Dem. P.R. of;41;copper smelter;;1986;30000
Mexico;41;copper smelter;;1986;84978
Namibia;41;copper smelter;;1986;50145
Norway;41;copper smelter;;1986;35202
Oman;41;copper smelter;;1986;19600
Peru;41;copper smelter;;1986;313700
Philippines;41;copper smelter;;1986;143678
Poland;41;copper smelter;;1986;366400
Portugal;41;copper smelter;;1986;1000
Romania;41;copper smelter;;1986;40977
South Africa;41;copper smelter;;1986;184000
Soviet Union;41;copper smelter;;1986;1155000
Spain;41;copper smelter;;1986;103500
Sweden;41;copper smelter;;1986;83358
Taiwan;41;copper smelter;;1986;63800
Turkey;41;copper smelter;;1986;35466
USA;41;copper smelter;;1986;908087
Yugoslavia;41;copper smelter;;1986;127236
Zaire;41;copper smelter;;1986;476000
Zambia;41;copper smelter;;1986;514090
Zimbabwe;41;copper smelter;;1986;29600
Albania;41;copper smelter;;1987;13000
Australia;41;copper smelter;;1987;172873
Belgium;41;copper smelter;;1987;100
Brazil;41;copper smelter;;1987;146969
Bulgaria;41;copper smelter;;1987;49800
Canada;41;copper smelter;;1987;473979
Chile;41;copper smelter;;1987;1106900
China;41;copper smelter;;1987;417000
Czechoslovakia;41;copper smelter;;1987;34415
Finland;41;copper smelter;;1987;101955
German Democratic Rep;41;copper smelter;;1987;23300
German Federal Republic;41;copper smelter;;1987;168900
Germany;41;copper smelter;;1987;
Hungary;41;copper smelter;;1987;3524
India;41;copper smelter;;1987;32923
Iran;41;copper smelter;;1987;40000
Japan;41;copper smelter;;1987;980191
Korea (Rep. of);41;copper smelter;;1987;143800
Korea, Dem. P.R. of;41;copper smelter;;1987;30000
Mexico;41;copper smelter;;1987;133850
Namibia;41;copper smelter;;1987;37653
Norway;41;copper smelter;;1987;30101
Oman;41;copper smelter;;1987;20600
Peru;41;copper smelter;;1987;311800
Philippines;41;copper smelter;;1987;164476
Poland;41;copper smelter;;1987;367300
