Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;73;steel crude;;1992;
Algeria;73;steel crude;;1992;767600
Angola;73;steel crude;;1992;10000
Argentina;73;steel crude;;1992;2679900
Australia;73;steel crude;;1992;6990000
Austria;73;steel crude;;1992;3600380
Azerbaijan;73;steel crude;;1992;385000
Bangladesh;73;steel crude;;1992;36796
Belarus;73;steel crude;;1992;544000
Belgium;73;steel crude;;1992;10337352
Bosnia & Herzegovina;73;steel crude;;1992;135000
Brazil;73;steel crude;;1992;23934000
Bulgaria;73;steel crude;;1992;1551000
Canada;73;steel crude;;1992;13933466
Chile;73;steel crude;;1992;1012758
China;73;steel crude;;1992;80940000
Colombia;73;steel crude;;1992;656782
Congo, Democratic Republic;73;steel crude;;1992;
Croatia;73;steel crude;;1992;101942
Cuba;73;steel crude;;1992;133900
Czech Republic;73;steel crude;;1992;0
Czechoslovakia;73;steel crude;;1992;11147000
Denmark;73;steel crude;;1992;591000
Dominican Republic;73;steel crude;;1992;32628
Ecuador;73;steel crude;;1992;
Egypt;73;steel crude;;1992;2524000
El Salvador;73;steel crude;;1992;
Estonia;73;steel crude;;1992;
Finland;73;steel crude;;1992;1996573
France;73;steel crude;;1992;17972490
Georgia;73;steel crude;;1992;532000
Germany;73;steel crude;;1992;39711000
Ghana;73;steel crude;;1992;
Greece;73;steel crude;;1992;923510
Guatemala;73;steel crude;;1992;
Hong Kong;73;steel crude;;1992;150000
Hungary;73;steel crude;;1992;1541000
India;73;steel crude;;1992;18117000
Indonesia;73;steel crude;;1992;3171072
Iran;73;steel crude;;1992;3081311
Ireland, Republic of;73;steel crude;;1992;265000
Israel;73;steel crude;;1992;109000
Italy;73;steel crude;;1992;24835000
Japan;73;steel crude;;1992;98132000
Jordan;73;steel crude;;1992;30000
Kazakhstan;73;steel crude;;1992;5675000
Kenya;73;steel crude;;1992;
Korea (Rep. of);73;steel crude;;1992;28054000
Korea, Dem. P.R. of;73;steel crude;;1992;4000000
Latvia;73;steel crude;;1992;247800
Libya;73;steel crude;;1992;822000
Lithuania;73;steel crude;;1992;
Luxembourg;73;steel crude;;1992;3068463
Malaysia;73;steel crude;;1992;1559000
Mauritania;73;steel crude;;1992;
Mexico;73;steel crude;;1992;8459429
Moldova;73;steel crude;;1992;619000
Mongolia;73;steel crude;;1992;
Morocco;73;steel crude;;1992;
Myanmar;73;steel crude;;1992;
Netherlands;73;steel crude;;1992;5439000
New Zealand;73;steel crude;;1992;632219
Nigeria;73;steel crude;;1992;140000
North Macedonia;73;steel crude;;1992;140000
Norway;73;steel crude;;1992;446234
Pakistan;73;steel crude;;1992;853000
Paraguay;73;steel crude;;1992;85954
Peru;73;steel crude;;1992;343244
Philippines;73;steel crude;;1992;497000
Poland;73;steel crude;;1992;9866500
Portugal;73;steel crude;;1992;768000
Qatar;73;steel crude;;1992;588059
Romania;73;steel crude;;1992;5376000
Russia;73;steel crude;;1992;67000000
Saudi Arabia;73;steel crude;;1992;1866000
Serbia and Montenegro;73;steel crude;;1992;665000
Singapore;73;steel crude;;1992;709000
Slovakia;73;steel crude;;1992;0
Slovenia;73;steel crude;;1992;400000
South Africa;73;steel crude;;1992;9062000
Spain;73;steel crude;;1992;12254000
Sri Lanka;73;steel crude;;1992;
Sweden;73;steel crude;;1992;4358000
Switzerland;73;steel crude;;1992;1240000
Syria;73;steel crude;;1992;70000
Taiwan;73;steel crude;;1992;10705000
Thailand;73;steel crude;;1992;929000
Trinidad & Tobago;73;steel crude;;1992;552800
Tunisia;73;steel crude;;1992;181500
Turkey;73;steel crude;;1992;10342916
USA;73;steel crude;;1992;84322000
Uganda;73;steel crude;;1992;
Ukraine;73;steel crude;;1992;41800000
United Arab Emirates;73;steel crude;;1992;
United Kingdom;73;steel crude;;1992;16211900
Uruguay;73;steel crude;;1992;55153
Uzbekistan;73;steel crude;;1992;630000
Venezuela;73;steel crude;;1992;3489198
Vietnam;73;steel crude;;1992;219000
Zimbabwe;73;steel crude;;1992;559000
Albania;73;steel crude;;1993;19000
Algeria;73;steel crude;;1993;798400
Angola;73;steel crude;;1993;9000
Argentina;73;steel crude;;1993;2885904
Australia;73;steel crude;;1993;7837000
Austria;73;steel crude;;1993;4148865
Azerbaijan;73;steel crude;;1993;236000
Bangladesh;73;steel crude;;1993;7043
Belarus;73;steel crude;;1993;946000
Belgium;73;steel crude;;1993;10118616
Bosnia & Herzegovina;73;steel crude;;1993;115000
Brazil;73;steel crude;;1993;25207000
Bulgaria;73;steel crude;;1993;1941000
Canada;73;steel crude;;1993;14387400
Chile;73;steel crude;;1993;1068828
China;73;steel crude;;1993;89556400
Colombia;73;steel crude;;1993;687432
Congo, Democratic Republic;73;steel crude;;1993;30000
Croatia;73;steel crude;;1993;73815
Cuba;73;steel crude;;1993;90514
Czech Republic;73;steel crude;;1993;6769000
Czechoslovakia;73;steel crude;;1993;
Denmark;73;steel crude;;1993;603000
Dominican Republic;73;steel crude;;1993;
Ecuador;73;steel crude;;1993;
Egypt;73;steel crude;;1993;2811000
El Salvador;73;steel crude;;1993;
Estonia;73;steel crude;;1993;
Finland;73;steel crude;;1993;3256000
France;73;steel crude;;1993;17106405
Georgia;73;steel crude;;1993;221677
Germany;73;steel crude;;1993;37625000
Ghana;73;steel crude;;1993;19000
Greece;73;steel crude;;1993;979551
Guatemala;73;steel crude;;1993;
Hong Kong;73;steel crude;;1993;150000
Hungary;73;steel crude;;1993;1753000
India;73;steel crude;;1993;18155000
Indonesia;73;steel crude;;1993;1947511
Iran;73;steel crude;;1993;4095744
Ireland, Republic of;73;steel crude;;1993;293000
Israel;73;steel crude;;1993;120000
Italy;73;steel crude;;1993;25721000
Japan;73;steel crude;;1993;99623000
Jordan;73;steel crude;;1993;30000
Kazakhstan;73;steel crude;;1993;4279000
Kenya;73;steel crude;;1993;20000
