Country;commodity_code;commodity_desc;Sub-commodity;year;value
Albania;40;copper mine;;1982;14000
Algeria;40;copper mine;;1982;200
Argentina;40;copper mine;;1982;37
Australia;40;copper mine;;1982;245322
Bolivia;40;copper mine;;1982;2270
Botswana;40;copper mine;;1982;18375
Brazil;40;copper mine;;1982;24482
Bulgaria;40;copper mine;;1982;65000
Canada;40;copper mine;;1982;612455
Chile;40;copper mine;;1982;1242200
China;40;copper mine;;1982;175000
Colombia;40;copper mine;;1982;113
Congo;40;copper mine;;1982;100
Cuba;40;copper mine;;1982;2674
Cyprus;40;copper mine;;1982;841
Czechoslovakia;40;copper mine;;1982;9300
Finland;40;copper mine;;1982;41739
France;40;copper mine;;1982;137
German Democratic Rep;40;copper mine;;1982;13000
German Federal Republic;40;copper mine;;1982;1300
Germany;40;copper mine;;1982;
Greece;40;copper mine;;1982;100
Honduras;40;copper mine;;1982;758
India;40;copper mine;;1982;24000
Indonesia;40;copper mine;;1982;75136
Iran;40;copper mine;;1982;43000
Ireland, Republic of;40;copper mine;;1982;1573
Israel;40;copper mine;;1982;4100
Italy;40;copper mine;;1982;138
Japan;40;copper mine;;1982;50658
Korea (Rep. of);40;copper mine;;1982;320
Korea, Dem. P.R. of;40;copper mine;;1982;12000
Malaysia;40;copper mine;;1982;30906
Mexico;40;copper mine;;1982;239091
Mongolia;40;copper mine;;1982;95000
Morocco;40;copper mine;;1982;20723
Mozambique;40;copper mine;;1982;224
Myanmar;40;copper mine;;1982;101
Namibia;40;copper mine;;1982;48800
Norway;40;copper mine;;1982;27590
Oman;40;copper mine;;1982;0
Papua New Guinea;40;copper mine;;1982;170004
Peru;40;copper mine;;1982;356300
Philippines;40;copper mine;;1982;292086
Poland;40;copper mine;;1982;376000
Portugal;40;copper mine;;1982;2287
Romania;40;copper mine;;1982;30000
South Africa;40;copper mine;;1982;195643
Soviet Union;40;copper mine;;1982;1010000
Spain;40;copper mine;;1982;47614
Sweden;40;copper mine;;1982;52682
Turkey;40;copper mine;;1982;32789
USA;40;copper mine;;1982;1146975
United Kingdom;40;copper mine;;1982;649
Yugoslavia;40;copper mine;;1982;119299
Zaire;40;copper mine;;1982;505385
Zambia;40;copper mine;;1982;529641
Zimbabwe;40;copper mine;;1982;24800
Albania;40;copper mine;;1983;15000
Algeria;40;copper mine;;1983;200
Argentina;40;copper mine;;1983;318
Australia;40;copper mine;;1983;261476
Bolivia;40;copper mine;;1983;1982
Botswana;40;copper mine;;1983;20266
Brazil;40;copper mine;;1983;32077
Bulgaria;40;copper mine;;1983;68000
Canada;40;copper mine;;1983;653040
Chile;40;copper mine;;1983;1257500
China;40;copper mine;;1983;175000
Colombia;40;copper mine;;1983;162
Congo;40;copper mine;;1983;100
Cuba;40;copper mine;;1983;2688
Cyprus;40;copper mine;;1983;1148
Czechoslovakia;40;copper mine;;1983;9800
Finland;40;copper mine;;1983;38570
France;40;copper mine;;1983;304
German Democratic Rep;40;copper mine;;1983;12000
German Federal Republic;40;copper mine;;1983;1200
Germany;40;copper mine;;1983;
Greece;40;copper mine;;1983;200
Honduras;40;copper mine;;1983;650
