Country;commodity_code;commodity_desc;Sub-commodity;year;value
Afghanistan;107;natural gas;;2002;3000
Albania;107;natural gas;;2002;10
Algeria;107;natural gas;;2002;80367
Angola;107;natural gas;;2002;600
Argentina;107;natural gas;;2002;40311
Australia;107;natural gas;;2002;32606
Austria;107;natural gas;;2002;2015
Azerbaijan;107;natural gas;;2002;5144
Bahrain;107;natural gas;;2002;9405
Bangladesh;107;natural gas;;2002;11087
Barbados;107;natural gas;;2002;29
Belarus;107;natural gas;;2002;246
Bolivia;107;natural gas;;2002;6421
Brazil;107;natural gas;;2002;10000
Brunei;107;natural gas;;2002;11200
Bulgaria;107;natural gas;;2002;11
Canada;107;natural gas;;2002;179037
Chile;107;natural gas;;2002;2543
China;107;natural gas;;2002;32661
Colombia;107;natural gas;;2002;6200
Congo;107;natural gas;;2002;
Croatia;107;natural gas;;2002;2122
Cuba;107;natural gas;;2002;585
Czech Republic;107;natural gas;;2002;91
Denmark;107;natural gas;;2002;7947
East Timor;107;natural gas;;2002;0
Ecuador;107;natural gas;;2002;113
Egypt;107;natural gas;;2002;19605
Equatorial Guinea;107;natural gas;;2002;1050
France;107;natural gas;;2002;1751
Gabon;107;natural gas;;2002;100
Georgia;107;natural gas;;2002;17
Germany;107;natural gas;;2002;21556
Greece;107;natural gas;;2002;36
Hungary;107;natural gas;;2002;3130
India;107;natural gas;;2002;29964
Indonesia;107;natural gas;;2002;68795
Iran;107;natural gas;;2002;75000
Iraq;107;natural gas;;2002;2360
Ireland, Republic of;107;natural gas;;2002;839
Israel;107;natural gas;;2002;9
Italy;107;natural gas;;2002;14623
Ivory Coast;107;natural gas;;2002;1610
Japan;107;natural gas;;2002;2495
Jordan;107;natural gas;;2002;256
Kazakhstan;107;natural gas;;2002;6018
Kuwait;107;natural gas;;2002;8000
Kyrgyzstan;107;natural gas;;2002;30
Libya;107;natural gas;;2002;6210
Malaysia;107;natural gas;;2002;48308
Mexico;107;natural gas;;2002;38900
Morocco;107;natural gas;;2002;49
Mozambique;107;natural gas;;2002;
Myanmar;107;natural gas;;2002;8400
Netherlands;107;natural gas;;2002;71786
New Zealand;107;natural gas;;2002;5942
Nigeria;107;natural gas;;2002;15120
Norway;107;natural gas;;2002;65501
Oman;107;natural gas;;2002;16000
Pakistan;107;natural gas;;2002;26158
Papua New Guinea;107;natural gas;;2002;105
Peru;107;natural gas;;2002;687
Philippines;107;natural gas;;2002;
Poland;107;natural gas;;2002;5263
Qatar;107;natural gas;;2002;29500
Romania;107;natural gas;;2002;13647
Russia;107;natural gas;;2002;561000
Saudi Arabia;107;natural gas;;2002;57320
Serbia;107;natural gas;;2002;0
Serbia and Montenegro;107;natural gas;;2002;400
Slovakia;107;natural gas;;2002;212
Slovenia;107;natural gas;;2002;6
South Africa;107;natural gas;;2002;1000
Spain;107;natural gas;;2002;553
