Country;commodity_code;commodity_desc;Sub-commodity;year;value
Afghanistan;109;petroleum crude;;2002;
Albania;109;petroleum crude;;2002;355817
Algeria;109;petroleum crude;;2002;61487000
Angola;109;petroleum crude;;2002;44600000
Argentina;109;petroleum crude;;2002;40242083
Australia;109;petroleum crude;;2002;33000000
Austria;109;petroleum crude;;2002;1032204
Azerbaijan;109;petroleum crude;;2002;15333500
Bahrain;109;petroleum crude;;2002;1870000
Barbados;109;petroleum crude;;2002;53612
Belarus;109;petroleum crude;;2002;1846000
Bolivia;109;petroleum crude;;2002;1438604
Brazil;109;petroleum crude;;2002;77600000
Brunei;109;petroleum crude;;2002;10096000
Bulgaria;109;petroleum crude;;2002;33000
Cameroon;109;petroleum crude;;2002;3700000
Canada;109;petroleum crude;;2002;120100000
Chad;109;petroleum crude;;2002;0
Chile;109;petroleum crude;;2002;300000
China;109;petroleum crude;;2002;167000000
Colombia;109;petroleum crude;;2002;29734320
Congo;109;petroleum crude;;2002;11937000
Congo, Democratic Republic;109;petroleum crude;;2002;12550000
Croatia;109;petroleum crude;;2002;1108434
Cuba;109;petroleum crude;;2002;3533400
Czech Republic;109;petroleum crude;;2002;253000
Denmark;109;petroleum crude;;2002;18494000
East Timor;109;petroleum crude;;2002;0
Ecuador;109;petroleum crude;;2002;20053000
Egypt;109;petroleum crude;;2002;34925000
Equatorial Guinea;109;petroleum crude;;2002;11700000
Estonia;109;petroleum crude;;2002;1438000
France;109;petroleum crude;;2002;1316890
Gabon;109;petroleum crude;;2002;14700000
Georgia;109;petroleum crude;;2002;73900
Germany;109;petroleum crude;;2002;3768054
Ghana;109;petroleum crude;;2002;350000
Greece;109;petroleum crude;;2002;207000
Guatemala;109;petroleum crude;;2002;1248953
Hungary;109;petroleum crude;;2002;1049770
India;109;petroleum crude;;2002;33044000
Indonesia;109;petroleum crude;;2002;63277000
Iran;109;petroleum crude;;2002;172700000
Iraq;109;petroleum crude;;2002;104000000
Israel;109;petroleum crude;;2002;4560
Italy;109;petroleum crude;;2002;5531000
Ivory Coast;109;petroleum crude;;2002;754289
Japan;109;petroleum crude;;2002;653000
Jordan;109;petroleum crude;;2002;1500
Kazakhstan;109;petroleum crude;;2002;47270700
Kuwait;109;petroleum crude;;2002;98200000
Kyrgyzstan;109;petroleum crude;;2002;75500
Libya;109;petroleum crude;;2002;61550000
Lithuania;109;petroleum crude;;2002;433700
Malaysia;109;petroleum crude;;2002;33300000
Mauritania;109;petroleum crude;;2002;0
Mexico;109;petroleum crude;;2002;185340000
Mongolia;109;petroleum crude;;2002;19000
Morocco;109;petroleum crude;;2002;12800
Myanmar;109;petroleum crude;;2002;858000
Netherlands;109;petroleum crude;;2002;3073924
New Zealand;109;petroleum crude;;2002;1363600
Niger;109;petroleum crude;;2002;
Nigeria;109;petroleum crude;;2002;88874000
Norway;109;petroleum crude;;2002;157847000
Oman;109;petroleum crude;;2002;44700000
Pakistan;109;petroleum crude;;2002;3093000
Papua New Guinea;109;petroleum crude;;2002;2120985
Peru;109;petroleum crude;;2002;4773299
Philippines;109;petroleum crude;;2002;277000
Poland;109;petroleum crude;;2002;727973
Qatar;109;petroleum crude;;2002;35100000
Romania;109;petroleum crude;;2002;5810000
Russia;109;petroleum crude;;2002;380000000
Saudi Arabia;109;petroleum crude;;2002;425300000
Senegal;109;petroleum crude;;2002;98100
Serbia;109;petroleum crude;;2002;0
Serbia and Montenegro;109;petroleum crude;;2002;681544
Slovakia;109;petroleum crude;;2002;51921
Slovenia;109;petroleum crude;;2002;
South Africa;109;petroleum crude;;2002;1025000
South Sudan;109;petroleum crude;;2002;
Spain;109;petroleum crude;;2002;326197
Sudan;109;petroleum crude;;2002;11500000
Suriname;109;petroleum crude;;2002;733000
Syria;109;petroleum crude;;2002;27100000
Taiwan;109;petroleum crude;;2002;51106
Tajikistan;109;petroleum crude;;2002;20000
Thailand;109;petroleum crude;;2002;6900000
Trinidad & Tobago;109;petroleum crude;;2002;6731294
Tunisia;109;petroleum crude;;2002;3535000
Turkey;109;petroleum crude;;2002;2440202
Turkmenistan;109;petroleum crude;;2002;9000000
USA;109;petroleum crude;;2002;352600000
Ukraine;109;petroleum crude;;2002;3700000
United Arab Emirates;109;petroleum crude;;2002;108500000
United Kingdom;109;petroleum crude;;2002;107430000
Uzbekistan;109;petroleum crude;;2002;7200000
Venezuela;109;petroleum crude;;2002;158609000
Vietnam;109;petroleum crude;;2002;16863000
Yemen, Republic of;109;petroleum crude;;2002;20958000
Afghanistan;109;petroleum crude;;2003;
Albania;109;petroleum crude;;2003;359253
Algeria;109;petroleum crude;;2003;76841000
Angola;109;petroleum crude;;2003;42500000
Argentina;109;petroleum crude;;2003;38097086
Australia;109;petroleum crude;;2003;27000000
Austria;109;petroleum crude;;2003;1014716
Azerbaijan;109;petroleum crude;;2003;15251300
Bahrain;109;petroleum crude;;2003;1870000
Barbados;109;petroleum crude;;2003;50899
Belarus;109;petroleum crude;;2003;1820400
Bolivia;109;petroleum crude;;2003;1551000
Brazil;109;petroleum crude;;2003;80300000
Brunei;109;petroleum crude;;2003;10306000
Bulgaria;109;petroleum crude;;2003;27900
Cameroon;109;petroleum crude;;2003;3400000
Canada;109;petroleum crude;;2003;121700000
Chad;109;petroleum crude;;2003;1200000
Chile;109;petroleum crude;;2003;187000
China;109;petroleum crude;;2003;169599800
Colombia;109;petroleum crude;;2003;27858918
Congo;109;petroleum crude;;2003;11163000
Congo, Democratic Republic;109;petroleum crude;;2003;1256000
Croatia;109;petroleum crude;;2003;1052121
Cuba;109;petroleum crude;;2003;3679800
Czech Republic;109;petroleum crude;;2003;310000
Denmark;109;petroleum crude;;2003;18341000
East Timor;109;petroleum crude;;2003;0
Ecuador;109;petroleum crude;;2003;21414000
Egypt;109;petroleum crude;;2003;36800000
Equatorial Guinea;109;petroleum crude;;2003;12000000
Estonia;109;petroleum crude;;2003;1463000
France;109;petroleum crude;;2003;1219000
Gabon;109;petroleum crude;;2003;12000000
Georgia;109;petroleum crude;;2003;139700
Germany;109;petroleum crude;;2003;3799864
Ghana;109;petroleum crude;;2003;351000
Greece;109;petroleum crude;;2003;143000
Guatemala;109;petroleum crude;;2003;1252104
Hungary;109;petroleum crude;;2003;1134245
India;109;petroleum crude;;2003;33373000
Indonesia;109;petroleum crude;;2003;57839000
Iran;109;petroleum crude;;2003;203700000
Iraq;109;petroleum crude;;2003;66100000
Israel;109;petroleum crude;;2003;3736
Italy;109;petroleum crude;;2003;5570000
Ivory Coast;109;petroleum crude;;2003;1652000
Japan;109;petroleum crude;;2003;757000
Jordan;109;petroleum crude;;2003;1400
Kazakhstan;109;petroleum crude;;2003;45376300
Kuwait;109;petroleum crude;;2003;114800000
Kyrgyzstan;109;petroleum crude;;2003;69500
Libya;109;petroleum crude;;2003;69000000
Lithuania;109;petroleum crude;;2003;382400
Malaysia;109;petroleum crude;;2003;35200000
Mauritania;109;petroleum crude;;2003;0
Mexico;109;petroleum crude;;2003;195890000
Mongolia;109;petroleum crude;;2003;25000
Morocco;109;petroleum crude;;2003;11800
Myanmar;109;petroleum crude;;2003;1051000
Netherlands;109;petroleum crude;;2003;3076398
New Zealand;109;petroleum crude;;2003;1052400
Niger;109;petroleum crude;;2003;
Nigeria;109;petroleum crude;;2003;115135240
Norway;109;petroleum crude;;2003;153508000
Oman;109;petroleum crude;;2003;40800000
Pakistan;109;petroleum crude;;2003;3128000
Papua New Guinea;109;petroleum crude;;2003;2282000
Peru;109;petroleum crude;;2003;4501500
Philippines;109;petroleum crude;;2003;690000
Poland;109;petroleum crude;;2003;764806
Qatar;109;petroleum crude;;2003;40800000
Romania;109;petroleum crude;;2003;5651000
Russia;109;petroleum crude;;2003;421000000
Saudi Arabia;109;petroleum crude;;2003;485100000
Senegal;109;petroleum crude;;2003;39200
Serbia;109;petroleum crude;;2003;0
Serbia and Montenegro;109;petroleum crude;;2003;670745
Slovakia;109;petroleum crude;;2003;47953
Slovenia;109;petroleum crude;;2003;
South Africa;109;petroleum crude;;2003;780000
South Sudan;109;petroleum crude;;2003;
Spain;109;petroleum crude;;2003;329171
Sudan;109;petroleum crude;;2003;13100000
Suriname;109;petroleum crude;;2003;690000
Syria;109;petroleum crude;;2003;26200000
Taiwan;109;petroleum crude;;2003;45760
Tajikistan;109;petroleum crude;;2003;17700
Thailand;109;petroleum crude;;2003;8600000
Trinidad & Tobago;109;petroleum crude;;2003;6914300
Tunisia;109;petroleum crude;;2003;3224000
Turkey;109;petroleum crude;;2003;2375082
Turkmenistan;109;petroleum crude;;2003;10000000
USA;109;petroleum crude;;2003;343700000
Ukraine;109;petroleum crude;;2003;3966900
United Arab Emirates;109;petroleum crude;;2003;122200000
United Kingdom;109;petroleum crude;;2003;97835000
Uzbekistan;109;petroleum crude;;2003;7100000
Venezuela;109;petroleum crude;;2003;131400000
Vietnam;109;petroleum crude;;2003;17700000
Yemen, Republic of;109;petroleum crude;;2003;20609000
Afghanistan;109;petroleum crude;;2004;
Albania;109;petroleum crude;;2004;399740
Algeria;109;petroleum crude;;2004;81760000
Angola;109;petroleum crude;;2004;48200000
Argentina;109;petroleum crude;;2004;35912065
Australia;109;petroleum crude;;2004;20748000
Austria;109;petroleum crude;;2004;981588
Azerbaijan;109;petroleum crude;;2004;15348800
Bahrain;109;petroleum crude;;2004;1867000
Barbados;109;petroleum crude;;2004;51696
Belarus;109;petroleum crude;;2004;1804040
Bolivia;109;petroleum crude;;2004;1891000
Brazil;109;petroleum crude;;2004;79820000
Brunei;109;petroleum crude;;2004;10300000
Bulgaria;109;petroleum crude;;2004;33100
Cameroon;109;petroleum crude;;2004;4500000
Canada;109;petroleum crude;;2004;122500000
Chad;109;petroleum crude;;2004;8800000
Chile;109;petroleum crude;;2004;183000
China;109;petroleum crude;;2004;175873300
Colombia;109;petroleum crude;;2004;27274443
Congo;109;petroleum crude;;2004;11145500
Congo, Democratic Republic;109;petroleum crude;;2004;1380000
Croatia;109;petroleum crude;;2004;1037787
Cuba;109;petroleum crude;;2004;3253000
Czech Republic;109;petroleum crude;;2004;299000
Denmark;109;petroleum crude;;2004;19446000
East Timor;109;petroleum crude;;2004;2368000
Ecuador;109;petroleum crude;;2004;26826000
Egypt;109;petroleum crude;;2004;35400000
Equatorial Guinea;109;petroleum crude;;2004;17100000
Estonia;109;petroleum crude;;2004;1314000
France;109;petroleum crude;;2004;1288000
Gabon;109;petroleum crude;;2004;11800000
Georgia;109;petroleum crude;;2004;97600
Germany;109;petroleum crude;;2004;3515537
Ghana;109;petroleum crude;;2004;351000
Greece;109;petroleum crude;;2004;143000
Guatemala;109;petroleum crude;;2004;1024000
Hungary;109;petroleum crude;;2004;1076844
India;109;petroleum crude;;2004;34015000
Indonesia;109;petroleum crude;;2004;54870000
Iran;109;petroleum crude;;2004;209700000
Iraq;109;petroleum crude;;2004;100000000
Israel;109;petroleum crude;;2004;3155
Italy;109;petroleum crude;;2004;5445000
Ivory Coast;109;petroleum crude;;2004;1754000
Japan;109;petroleum crude;;2004;783000
Jordan;109;petroleum crude;;2004;1200
Kazakhstan;109;petroleum crude;;2004;59484800
