Country;commodity_code;commodity_desc;Sub-commodity;year;value
Algeria;107;natural gas;;1970;2998
Argentina;107;natural gas;;1970;6183
Australia;107;natural gas;;1970;1502
Austria;107;natural gas;;1970;1897
Bahrain;107;natural gas;;1970;0
Barbados;107;natural gas;;1970;3
Belgium;107;natural gas;;1970;53
Bolivia;107;natural gas;;1970;866
Brazil;107;natural gas;;1970;1264
Brunei;107;natural gas;;1970;
Bulgaria;107;natural gas;;1970;474
Canada;107;natural gas;;1970;64481
Chile;107;natural gas;;1970;7628
China;107;natural gas;;1970;1700
Colombia;107;natural gas;;1970;1323
Czechoslovakia;107;natural gas;;1970;885
France;107;natural gas;;1970;6800
Gabon;107;natural gas;;1970;28
German Democratic Rep;107;natural gas;;1970;1233
German Federal Republic;107;natural gas;;1970;12463
Hungary;107;natural gas;;1970;3469
India;107;natural gas;;1970;676
Indonesia;107;natural gas;;1970;3071
Iran;107;natural gas;;1970;11223
Iraq;107;natural gas;;1970;785
Israel;107;natural gas;;1970;134
Italy;107;natural gas;;1970;13134
Japan;107;natural gas;;1970;2359
Kuwait;107;natural gas;;1970;5800
Libya;107;natural gas;;1970;260
Mexico;107;natural gas;;1970;13623
Morocco;107;natural gas;;1970;44
Netherlands;107;natural gas;;1970;31668
New Zealand;107;natural gas;;1970;107
Nigeria;107;natural gas;;1970;111
Pakistan;107;natural gas;;1970;3790
Peru;107;natural gas;;1970;476
Poland;107;natural gas;;1970;5182
Qatar;107;natural gas;;1970;1002
Romania;107;natural gas;;1970;25031
Saudi Arabia;107;natural gas;;1970;2261
Soviet Union;107;natural gas;;1970;197945
Taiwan;107;natural gas;;1970;918
Trinidad & Tobago;107;natural gas;;1970;1600
Tunisia;107;natural gas;;1970;9
USA;107;natural gas;;1970;620723
United Kingdom;107;natural gas;;1970;11099
Uruguay;107;natural gas;;1970;26
Venezuela;107;natural gas;;1970;28316
Yugoslavia;107;natural gas;;1970;977
Algeria;107;natural gas;;1971;2976
Argentina;107;natural gas;;1971;6382
Australia;107;natural gas;;1971;2238
Austria;107;natural gas;;1971;1891
Bahrain;107;natural gas;;1971;506
Barbados;107;natural gas;;1971;4
Belgium;107;natural gas;;1971;50
Bolivia;107;natural gas;;1971;2296
Brazil;107;natural gas;;1971;1177
Brunei;107;natural gas;;1971;220
Bulgaria;107;natural gas;;1971;327
Canada;107;natural gas;;1971;70764
Chile;107;natural gas;;1971;7986
China;107;natural gas;;1971;2265
Colombia;107;natural gas;;1971;1449
Czechoslovakia;107;natural gas;;1971;875
France;107;natural gas;;1971;7149
Gabon;107;natural gas;;1971;32
German Democratic Rep;107;natural gas;;1971;2853
German Federal Republic;107;natural gas;;1971;15071
Hungary;107;natural gas;;1971;3705
India;107;natural gas;;1971;754
Indonesia;107;natural gas;;1971;3432
Iran;107;natural gas;;1971;15612
Iraq;107;natural gas;;1971;870
Israel;107;natural gas;;1971;124
Italy;107;natural gas;;1971;13380
Japan;107;natural gas;;1971;2433
Kuwait;107;natural gas;;1971;4400
Libya;107;natural gas;;1971;710
Mexico;107;natural gas;;1971;13551
Morocco;107;natural gas;;1971;48
Netherlands;107;natural gas;;1971;43797
New Zealand;107;natural gas;;1971;301
Nigeria;107;natural gas;;1971;184
Pakistan;107;natural gas;;1971;3049
Peru;107;natural gas;;1971;480
Poland;107;natural gas;;1971;5383
Qatar;107;natural gas;;1971;1005
Romania;107;natural gas;;1971;26719
Saudi Arabia;107;natural gas;;1971;2652
Soviet Union;107;natural gas;;1971;223703
Taiwan;107;natural gas;;1971;1090
Trinidad & Tobago;107;natural gas;;1971;1582
Tunisia;107;natural gas;;1971;1
USA;107;natural gas;;1971;636940
United Kingdom;107;natural gas;;1971;18460
Uruguay;107;natural gas;;1971;26
Venezuela;107;natural gas;;1971;26593
Yugoslavia;107;natural gas;;1971;1151
