Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;36;cobalt mine;;1970;469
Canada;36;cobalt mine;;1970;2069
Cuba;36;cobalt mine;;1970;1500
Finland;36;cobalt mine;;1970;1008
Morocco;36;cobalt mine;;1970;604
New Caledonia;36;cobalt mine;;1970;0
Soviet Union;36;cobalt mine;;1970;1500
Zaire;36;cobalt mine;;1970;13958
Zambia;36;cobalt mine;;1970;2052
Australia;36;cobalt mine;;1971;796
Canada;36;cobalt mine;;1971;1961
Cuba;36;cobalt mine;;1971;1500
Finland;36;cobalt mine;;1971;925
Morocco;36;cobalt mine;;1971;978
New Caledonia;36;cobalt mine;;1971;0
Soviet Union;36;cobalt mine;;1971;1600
Zaire;36;cobalt mine;;1971;14518
Zambia;36;cobalt mine;;1971;2079
