Country;commodity_code;commodity_desc;Sub-commodity;year;value
Argentina;3;aluminium primary;;1982;140500
Australia;3;aluminium primary;;1982;380796
Austria;3;aluminium primary;;1982;93908
Bahrain;3;aluminium primary;;1982;171000
Brazil;3;aluminium primary;;1982;299054
Cameroon;3;aluminium primary;;1982;78900
Canada;3;aluminium primary;;1982;1064795
China;3;aluminium primary;;1982;370000
Czechoslovakia;3;aluminium primary;;1982;33830
Egypt;3;aluminium primary;;1982;139914
France;3;aluminium primary;;1982;390413
German Democratic Rep;3;aluminium primary;;1982;58000
German Federal Republic;3;aluminium primary;;1982;722754
Germany;3;aluminium primary;;1982;
Ghana;3;aluminium primary;;1982;174200
Greece;3;aluminium primary;;1982;136612
Hungary;3;aluminium primary;;1982;74221
Iceland;3;aluminium primary;;1982;75241
India;3;aluminium primary;;1982;216679
Indonesia;3;aluminium primary;;1982;30500
Iran;3;aluminium primary;;1982;45000
Italy;3;aluminium primary;;1982;232861
Japan;3;aluminium primary;;1982;350706
Korea (Rep. of);3;aluminium primary;;1982;15226
Korea, Dem. P.R. of;3;aluminium primary;;1982;10000
Mexico;3;aluminium primary;;1982;41180
Netherlands;3;aluminium primary;;1982;250925
New Zealand;3;aluminium primary;;1982;163420
Norway;3;aluminium primary;;1982;638091
Poland;3;aluminium primary;;1982;42700
Romania;3;aluminium primary;;1982;208000
South Africa;3;aluminium primary;;1982;105500
Soviet Union;3;aluminium primary;;1982;2400000
Spain;3;aluminium primary;;1982;366500
Suriname;3;aluminium primary;;1982;42500
Sweden;3;aluminium primary;;1982;81324
Switzerland;3;aluminium primary;;1982;75256
Taiwan;3;aluminium primary;;1982;10120
Turkey;3;aluminium primary;;1982;36300
USA;3;aluminium primary;;1982;3274000
United Arab Emirates;3;aluminium primary;;1982;148739
United Kingdom;3;aluminium primary;;1982;240806
Venezuela;3;aluminium primary;;1982;273632
Yugoslavia;3;aluminium primary;;1982;217338
Argentina;3;aluminium primary;;1983;136358
Australia;3;aluminium primary;;1983;478190
Austria;3;aluminium primary;;1983;94200
Bahrain;3;aluminium primary;;1983;171700
Brazil;3;aluminium primary;;1983;400744
Cameroon;3;aluminium primary;;1983;77400
Canada;3;aluminium primary;;1983;1091213
China;3;aluminium primary;;1983;425000
Czechoslovakia;3;aluminium primary;;1983;36156
Egypt;3;aluminium primary;;1983;154604
France;3;aluminium primary;;1983;360793
German Democratic Rep;3;aluminium primary;;1983;57000
German Federal Republic;3;aluminium primary;;1983;743313
Germany;3;aluminium primary;;1983;
Ghana;3;aluminium primary;;1983;42500
