Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;99;molybdenum mine;;1972;7
Bulgaria;99;molybdenum mine;;1972;230
Canada;99;molybdenum mine;;1972;21540
Chile;99;molybdenum mine;;1972;9808
China;99;molybdenum mine;;1972;2500
Japan;99;molybdenum mine;;1972;374
Korea (Rep. of);99;molybdenum mine;;1972;84
Mexico;99;molybdenum mine;;1972;130
Mongolia;99;molybdenum mine;;1972;
Niger;99;molybdenum mine;;1972;
Norway;99;molybdenum mine;;1972;522
Peru;99;molybdenum mine;;1972;1278
Philippines;99;molybdenum mine;;1972;
Soviet Union;99;molybdenum mine;;1972;13700
Turkey;99;molybdenum mine;;1972;
USA;99;molybdenum mine;;1972;84800
Australia;99;molybdenum mine;;1973;7
Bulgaria;99;molybdenum mine;;1973;230
Canada;99;molybdenum mine;;1973;22975
Chile;99;molybdenum mine;;1973;8072
China;99;molybdenum mine;;1973;2500
Japan;99;molybdenum mine;;1973;274
Korea (Rep. of);99;molybdenum mine;;1973;85
Mexico;99;molybdenum mine;;1973;68
Mongolia;99;molybdenum mine;;1973;
Niger;99;molybdenum mine;;1973;
Norway;99;molybdenum mine;;1973;188
Peru;99;molybdenum mine;;1973;1056
Philippines;99;molybdenum mine;;1973;
Soviet Union;99;molybdenum mine;;1973;14200
Turkey;99;molybdenum mine;;1973;
USA;99;molybdenum mine;;1973;87600
Australia;99;molybdenum mine;;1974;
Bulgaria;99;molybdenum mine;;1974;230
Canada;99;molybdenum mine;;1974;23237
Chile;99;molybdenum mine;;1974;16274
China;99;molybdenum mine;;1974;2500
Japan;99;molybdenum mine;;1974;177
Korea (Rep. of);99;molybdenum mine;;1974;126
Mexico;99;molybdenum mine;;1974;72
Mongolia;99;molybdenum mine;;1974;
Niger;99;molybdenum mine;;1974;
Norway;99;molybdenum mine;;1974;
Peru;99;molybdenum mine;;1974;1085
Philippines;99;molybdenum mine;;1974;
Soviet Union;99;molybdenum mine;;1974;14600
Turkey;99;molybdenum mine;;1974;
USA;99;molybdenum mine;;1974;84700
Australia;99;molybdenum mine;;1975;
Bulgaria;99;molybdenum mine;;1975;230
Canada;99;molybdenum mine;;1975;21712
Chile;99;molybdenum mine;;1975;15152
China;99;molybdenum mine;;1975;2500
Japan;99;molybdenum mine;;1975;234
Korea (Rep. of);99;molybdenum mine;;1975;126
Mexico;99;molybdenum mine;;1975;28
Mongolia;99;molybdenum mine;;1975;
Niger;99;molybdenum mine;;1975;
Norway;99;molybdenum mine;;1975;
Peru;99;molybdenum mine;;1975;739
Philippines;99;molybdenum mine;;1975;
Soviet Union;99;molybdenum mine;;1975;15100
Turkey;99;molybdenum mine;;1975;
USA;99;molybdenum mine;;1975;80100
Australia;99;molybdenum mine;;1976;
Bulgaria;99;molybdenum mine;;1976;230
Canada;99;molybdenum mine;;1976;24365
Chile;99;molybdenum mine;;1976;18165
China;99;molybdenum mine;;1976;2500
Japan;99;molybdenum mine;;1976;408
Korea (Rep. of);99;molybdenum mine;;1976;200
Mexico;99;molybdenum mine;;1976;27
Mongolia;99;molybdenum mine;;1976;
Niger;99;molybdenum mine;;1976;
Norway;99;molybdenum mine;;1976;
Peru;99;molybdenum mine;;1976;755
Philippines;99;molybdenum mine;;1976;0
Soviet Union;99;molybdenum mine;;1976;15600
Turkey;99;molybdenum mine;;1976;24365
USA;99;molybdenum mine;;1976;85603
Australia;99;molybdenum mine;;1977;
Bulgaria;99;molybdenum mine;;1977;150
Canada;99;molybdenum mine;;1977;16568
Chile;99;molybdenum mine;;1977;10938
China;99;molybdenum mine;;1977;1500
Japan;99;molybdenum mine;;1977;182
Korea (Rep. of);99;molybdenum mine;;1977;102
Mexico;99;molybdenum mine;;1977;1
Mongolia;99;molybdenum mine;;1977;
Niger;99;molybdenum mine;;1977;
Norway;99;molybdenum mine;;1977;
Peru;99;molybdenum mine;;1977;456
Philippines;99;molybdenum mine;;1977;0
Soviet Union;99;molybdenum mine;;1977;9700
Turkey;99;molybdenum mine;;1977;0
USA;99;molybdenum mine;;1977;55523
Australia;99;molybdenum mine;;1978;
Bulgaria;99;molybdenum mine;;1978;150
Canada;99;molybdenum mine;;1978;13943
Chile;99;molybdenum mine;;1978;13196
China;99;molybdenum mine;;1978;2000
Japan;99;molybdenum mine;;1978;74
Korea (Rep. of);99;molybdenum mine;;1978;221
Mexico;99;molybdenum mine;;1978;11
Mongolia;99;molybdenum mine;;1978;
Niger;99;molybdenum mine;;1978;
Norway;99;molybdenum mine;;1978;
Peru;99;molybdenum mine;;1978;734
Philippines;99;molybdenum mine;;1978;55
Soviet Union;99;molybdenum mine;;1978;9900
Turkey;99;molybdenum mine;;1978;25
USA;99;molybdenum mine;;1978;59803
Australia;99;molybdenum mine;;1979;
Bulgaria;99;molybdenum mine;;1979;150
Canada;99;molybdenum mine;;1979;11175
Chile;99;molybdenum mine;;1979;13560
China;99;molybdenum mine;;1979;2000
Japan;99;molybdenum mine;;1979;70
Korea (Rep. of);99;molybdenum mine;;1979;190
Mexico;99;molybdenum mine;;1979;48
Mongolia;99;molybdenum mine;;1979;222
Niger;99;molybdenum mine;;1979;10
Norway;99;molybdenum mine;;1979;
Peru;99;molybdenum mine;;1979;1152
Philippines;99;molybdenum mine;;1979;141
Soviet Union;99;molybdenum mine;;1979;10200
Turkey;99;molybdenum mine;;1979;65
USA;99;molybdenum mine;;1979;65302
Australia;99;molybdenum mine;;1980;
Bulgaria;99;molybdenum mine;;1980;150
Canada;99;molybdenum mine;;1980;11889
Chile;99;molybdenum mine;;1980;13668
China;99;molybdenum mine;;1980;2000
Japan;99;molybdenum mine;;1980;60
Korea (Rep. of);99;molybdenum mine;;1980;302
Mexico;99;molybdenum mine;;1980;74
Mongolia;99;molybdenum mine;;1980;487
Niger;99;molybdenum mine;;1980;122
Norway;99;molybdenum mine;;1980;
Peru;99;molybdenum mine;;1980;2407
Philippines;99;molybdenum mine;;1980;91
Soviet Union;99;molybdenum mine;;1980;10400
Turkey;99;molybdenum mine;;1980;100
USA;99;molybdenum mine;;1980;68350
Australia;99;molybdenum mine;;1981;
Bulgaria;99;molybdenum mine;;1981;150
Canada;99;molybdenum mine;;1981;12850
Chile;99;molybdenum mine;;1981;15360
China;99;molybdenum mine;;1981;2000
Japan;99;molybdenum mine;;1981;79
Korea (Rep. of);99;molybdenum mine;;1981;467
Mexico;99;molybdenum mine;;1981;451
Mongolia;99;molybdenum mine;;1981;660
Niger;99;molybdenum mine;;1981;116
Norway;99;molybdenum mine;;1981;
Peru;99;molybdenum mine;;1981;3054
Philippines;99;molybdenum mine;;1981;94
Soviet Union;99;molybdenum mine;;1981;10700
Turkey;99;molybdenum mine;;1981;100
USA;99;molybdenum mine;;1981;63458
