Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;36;cobalt mine;;2002;2763
Botswana;36;cobalt mine;;2002;269
Brazil;36;cobalt mine;;2002;4300
Canada;36;cobalt mine;;2002;5148
China;36;cobalt mine;;2002;1004
Congo, Democratic Republic;36;cobalt mine;;2002;14500
Cuba;36;cobalt mine;;2002;3856
Finland;36;cobalt mine;;2002;
Indonesia;36;cobalt mine;;2002;650
Madagascar;36;cobalt mine;;2002;
Morocco;36;cobalt mine;;2002;1335
New Caledonia;36;cobalt mine;;2002;2780
Papua New Guinea;36;cobalt mine;;2002;
Philippines;36;cobalt mine;;2002;
Russia;36;cobalt mine;;2002;4200
South Africa;36;cobalt mine;;2002;366
USA;36;cobalt mine;;2002;
Uganda;36;cobalt mine;;2002;
Vietnam;36;cobalt mine;;2002;
Zambia;36;cobalt mine;;2002;6144
Zimbabwe;36;cobalt mine;;2002;74
Australia;36;cobalt mine;;2003;2562
Botswana;36;cobalt mine;;2003;294
Brazil;36;cobalt mine;;2003;4200
Canada;36;cobalt mine;;2003;4327
China;36;cobalt mine;;2003;707
Congo, Democratic Republic;36;cobalt mine;;2003;14500
Cuba;36;cobalt mine;;2003;3643
Finland;36;cobalt mine;;2003;
Indonesia;36;cobalt mine;;2003;650
Madagascar;36;cobalt mine;;2003;
Morocco;36;cobalt mine;;2003;1391
New Caledonia;36;cobalt mine;;2003;2602
Papua New Guinea;36;cobalt mine;;2003;
Philippines;36;cobalt mine;;2003;
Russia;36;cobalt mine;;2003;4654
South Africa;36;cobalt mine;;2003;271
USA;36;cobalt mine;;2003;
Uganda;36;cobalt mine;;2003;
Vietnam;36;cobalt mine;;2003;
Zambia;36;cobalt mine;;2003;6620
Zimbabwe;36;cobalt mine;;2003;44
Australia;36;cobalt mine;;2004;2004
Botswana;36;cobalt mine;;2004;223
Brazil;36;cobalt mine;;2004;4300
Canada;36;cobalt mine;;2004;5060
China;36;cobalt mine;;2004;1253
Congo, Democratic Republic;36;cobalt mine;;2004;20200
Cuba;36;cobalt mine;;2004;3554
Finland;36;cobalt mine;;2004;
Indonesia;36;cobalt mine;;2004;650
Madagascar;36;cobalt mine;;2004;
Morocco;36;cobalt mine;;2004;1600
New Caledonia;36;cobalt mine;;2004;2726
Papua New Guinea;36;cobalt mine;;2004;
Philippines;36;cobalt mine;;2004;
Russia;36;cobalt mine;;2004;4527
South Africa;36;cobalt mine;;2004;309
USA;36;cobalt mine;;2004;
Uganda;36;cobalt mine;;2004;
Vietnam;36;cobalt mine;;2004;
Zambia;36;cobalt mine;;2004;5791
Zimbabwe;36;cobalt mine;;2004;59
Australia;36;cobalt mine;;2005;5198
Botswana;36;cobalt mine;;2005;326
Brazil;36;cobalt mine;;2005;1400
Canada;36;cobalt mine;;2005;5767
China;36;cobalt mine;;2005;2104
Congo, Democratic Republic;36;cobalt mine;;2005;24500
Cuba;36;cobalt mine;;2005;4798
Finland;36;cobalt mine;;2005;100
Indonesia;36;cobalt mine;;2005;650
Madagascar;36;cobalt mine;;2005;
Morocco;36;cobalt mine;;2005;1600
New Caledonia;36;cobalt mine;;2005;1769
Papua New Guinea;36;cobalt mine;;2005;
Philippines;36;cobalt mine;;2005;
Russia;36;cobalt mine;;2005;4748
South Africa;36;cobalt mine;;2005;268
USA;36;cobalt mine;;2005;
Uganda;36;cobalt mine;;2005;638
Vietnam;36;cobalt mine;;2005;
Zambia;36;cobalt mine;;2005;5422
Zimbabwe;36;cobalt mine;;2005;304
Australia;36;cobalt mine;;2006;5736
Botswana;36;cobalt mine;;2006;303
Brazil;36;cobalt mine;;2006;1100
Canada;36;cobalt mine;;2006;7115
China;36;cobalt mine;;2006;1840
