Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;736;rare earth oxides;;1992;3640
Brazil;736;rare earth oxides;;1992;1060
China;736;rare earth oxides;;1992;21300
Congo, Democratic Republic;736;rare earth oxides;;1992;33
India;736;rare earth oxides;;1992;3300
Madagascar;736;rare earth oxides;;1992;65
Malaysia;736;rare earth oxides;;1992;330
Russia;736;rare earth oxides;;1992;4000
South Africa;736;rare earth oxides;;1992;280
Sri Lanka;736;rare earth oxides;;1992;130
Thailand;736;rare earth oxides;;1992;58
USA;736;rare earth oxides;;1992;20699
Australia;736;rare earth oxides;;1993;4225
Brazil;736;rare earth oxides;;1993;0
China;736;rare earth oxides;;1993;22100
Congo, Democratic Republic;736;rare earth oxides;;1993;13
India;736;rare earth oxides;;1993;3300
Madagascar;736;rare earth oxides;;1993;65
Malaysia;736;rare earth oxides;;1993;170
Russia;736;rare earth oxides;;1993;500
South Africa;736;rare earth oxides;;1993;280
Sri Lanka;736;rare earth oxides;;1993;130
Thailand;736;rare earth oxides;;1993;143
USA;736;rare earth oxides;;1993;17754
Australia;736;rare earth oxides;;1994;1495
Brazil;736;rare earth oxides;;1994;0
China;736;rare earth oxides;;1994;30700
Congo, Democratic Republic;736;rare earth oxides;;1994;13
India;736;rare earth oxides;;1994;3300
Madagascar;736;rare earth oxides;;1994;65
Malaysia;736;rare earth oxides;;1994;180
Russia;736;rare earth oxides;;1994;500
South Africa;736;rare earth oxides;;1994;85
Sri Lanka;736;rare earth oxides;;1994;0
Thailand;736;rare earth oxides;;1994;0
USA;736;rare earth oxides;;1994;20664
Australia;736;rare earth oxides;;1995;130
Brazil;736;rare earth oxides;;1995;0
China;736;rare earth oxides;;1995;50933
Congo, Democratic Republic;736;rare earth oxides;;1995;13
India;736;rare earth oxides;;1995;3300
Madagascar;736;rare earth oxides;;1995;65
Malaysia;736;rare earth oxides;;1995;340
Russia;736;rare earth oxides;;1995;400
South Africa;736;rare earth oxides;;1995;0
Sri Lanka;736;rare earth oxides;;1995;0
Thailand;736;rare earth oxides;;1995;0
USA;736;rare earth oxides;;1995;22200
Australia;736;rare earth oxides;;1996;0
Brazil;736;rare earth oxides;;1996;0
China;736;rare earth oxides;;1996;60373
Congo, Democratic Republic;736;rare earth oxides;;1996;7
India;736;rare earth oxides;;1996;3300
Madagascar;736;rare earth oxides;;1996;0
Malaysia;736;rare earth oxides;;1996;260
Russia;736;rare earth oxides;;1996;400
South Africa;736;rare earth oxides;;1996;0
Sri Lanka;736;rare earth oxides;;1996;0
Thailand;736;rare earth oxides;;1996;0
USA;736;rare earth oxides;;1996;20400
Australia;736;rare earth oxides;;1997;
Brazil;736;rare earth oxides;;1997;0
China;736;rare earth oxides;;1997;63250
Congo, Democratic Republic;736;rare earth oxides;;1997;0
India;736;rare earth oxides;;1997;2100
Madagascar;736;rare earth oxides;;1997;
Malaysia;736;rare earth oxides;;1997;300
Russia;736;rare earth oxides;;1997;300
South Africa;736;rare earth oxides;;1997;
Sri Lanka;736;rare earth oxides;;1997;
Thailand;736;rare earth oxides;;1997;
USA;736;rare earth oxides;;1997;10000
Australia;736;rare earth oxides;;1998;
Brazil;736;rare earth oxides;;1998;0
China;736;rare earth oxides;;1998;75000
Congo, Democratic Republic;736;rare earth oxides;;1998;
India;736;rare earth oxides;;1998;2000
Madagascar;736;rare earth oxides;;1998;
Malaysia;736;rare earth oxides;;1998;220
Russia;736;rare earth oxides;;1998;333
South Africa;736;rare earth oxides;;1998;
Sri Lanka;736;rare earth oxides;;1998;
Thailand;736;rare earth oxides;;1998;
USA;736;rare earth oxides;;1998;5000
Australia;736;rare earth oxides;;1999;
Brazil;736;rare earth oxides;;1999;0
China;736;rare earth oxides;;1999;80500
Congo, Democratic Republic;736;rare earth oxides;;1999;
India;736;rare earth oxides;;1999;1100
Madagascar;736;rare earth oxides;;1999;
Malaysia;736;rare earth oxides;;1999;490
Russia;736;rare earth oxides;;1999;500
South Africa;736;rare earth oxides;;1999;
Sri Lanka;736;rare earth oxides;;1999;
Thailand;736;rare earth oxides;;1999;
USA;736;rare earth oxides;;1999;5000
Australia;736;rare earth oxides;;2000;
Brazil;736;rare earth oxides;;2000;0
China;736;rare earth oxides;;2000;73000
Congo, Democratic Republic;736;rare earth oxides;;2000;
India;736;rare earth oxides;;2000;1200
Madagascar;736;rare earth oxides;;2000;
Malaysia;736;rare earth oxides;;2000;350
Russia;736;rare earth oxides;;2000;750
South Africa;736;rare earth oxides;;2000;
Sri Lanka;736;rare earth oxides;;2000;
Thailand;736;rare earth oxides;;2000;
USA;736;rare earth oxides;;2000;5000
Australia;736;rare earth oxides;;2001;
Brazil;736;rare earth oxides;;2001;0
China;736;rare earth oxides;;2001;80600
Congo, Democratic Republic;736;rare earth oxides;;2001;
India;736;rare earth oxides;;2001;1700
Madagascar;736;rare earth oxides;;2001;
Malaysia;736;rare earth oxides;;2001;270
Russia;736;rare earth oxides;;2001;1000
South Africa;736;rare earth oxides;;2001;
Sri Lanka;736;rare earth oxides;;2001;
Thailand;736;rare earth oxides;;2001;
USA;736;rare earth oxides;;2001;5000
