Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;736;rare earth oxides;;2002;
Brazil;736;rare earth oxides;;2002;0
China;736;rare earth oxides;;2002;88000
India;736;rare earth oxides;;2002;1900
Malaysia;736;rare earth oxides;;2002;190
Russia;736;rare earth oxides;;2002;1250
USA;736;rare earth oxides;;2002;5000
Vietnam;736;rare earth oxides;;2002;
Australia;736;rare earth oxides;;2003;
Brazil;736;rare earth oxides;;2003;0
China;736;rare earth oxides;;2003;92000
India;736;rare earth oxides;;2003;1900
Malaysia;736;rare earth oxides;;2003;340
Russia;736;rare earth oxides;;2003;1500
USA;736;rare earth oxides;;2003;0
Vietnam;736;rare earth oxides;;2003;
Australia;736;rare earth oxides;;2004;
Brazil;736;rare earth oxides;;2004;480
China;736;rare earth oxides;;2004;98300
India;736;rare earth oxides;;2004;2000
Malaysia;736;rare earth oxides;;2004;710
Russia;736;rare earth oxides;;2004;1592
USA;736;rare earth oxides;;2004;0
Vietnam;736;rare earth oxides;;2004;
Australia;736;rare earth oxides;;2005;
Brazil;736;rare earth oxides;;2005;620
China;736;rare earth oxides;;2005;119000
India;736;rare earth oxides;;2005;122
Malaysia;736;rare earth oxides;;2005;210
Russia;736;rare earth oxides;;2005;2027
USA;736;rare earth oxides;;2005;
Vietnam;736;rare earth oxides;;2005;
Australia;736;rare earth oxides;;2006;
Brazil;736;rare earth oxides;;2006;620
China;736;rare earth oxides;;2006;133000
India;736;rare earth oxides;;2006;45
Malaysia;736;rare earth oxides;;2006;580
Russia;736;rare earth oxides;;2006;2935
USA;736;rare earth oxides;;2006;
Vietnam;736;rare earth oxides;;2006;
Australia;736;rare earth oxides;;2007;0
Brazil;736;rare earth oxides;;2007;760
China;736;rare earth oxides;;2007;120800
India;736;rare earth oxides;;2007;35
Malaysia;736;rare earth oxides;;2007;440
Russia;736;rare earth oxides;;2007;2711
USA;736;rare earth oxides;;2007;
Vietnam;736;rare earth oxides;;2007;
Australia;736;rare earth oxides;;2008;0
Brazil;736;rare earth oxides;;2008;540
China;736;rare earth oxides;;2008;124500
India;736;rare earth oxides;;2008;22
Malaysia;736;rare earth oxides;;2008;150
Russia;736;rare earth oxides;;2008;2470
USA;736;rare earth oxides;;2008;0
Vietnam;736;rare earth oxides;;2008;
Australia;736;rare earth oxides;;2009;0
Brazil;736;rare earth oxides;;2009;200
China;736;rare earth oxides;;2009;129400
India;736;rare earth oxides;;2009;16
Malaysia;736;rare earth oxides;;2009;20
Russia;736;rare earth oxides;;2009;1898
USA;736;rare earth oxides;;2009;0
Vietnam;736;rare earth oxides;;2009;
Australia;736;rare earth oxides;;2010;0
Brazil;736;rare earth oxides;;2010;160
China;736;rare earth oxides;;2010;118900
India;736;rare earth oxides;;2010;
Malaysia;736;rare earth oxides;;2010;471
Russia;736;rare earth oxides;;2010;1496
USA;736;rare earth oxides;;2010;0
Vietnam;736;rare earth oxides;;2010;
Australia;736;rare earth oxides;;2011;2188
Brazil;736;rare earth oxides;;2011;188
China;736;rare earth oxides;;2011;105000
India;736;rare earth oxides;;2011;
Malaysia;736;rare earth oxides;;2011;498
Russia;736;rare earth oxides;;2011;1444
USA;736;rare earth oxides;;2011;0
Vietnam;736;rare earth oxides;;2011;0
