Country;commodity_code;commodity_desc;Sub-commodity;year;value
Armenia;99;molybdenum mine;;1992;1000
Bulgaria;99;molybdenum mine;;1992;200
Canada;99;molybdenum mine;;1992;9405
Chile;99;molybdenum mine;;1992;14840
China;99;molybdenum mine;;1992;19600
Iran;99;molybdenum mine;;1992;800
Japan;99;molybdenum mine;;1992;
Kazakhstan;99;molybdenum mine;;1992;700
Kyrgyzstan;99;molybdenum mine;;1992;
Mexico;99;molybdenum mine;;1992;1458
Mongolia;99;molybdenum mine;;1992;1500
Niger;99;molybdenum mine;;1992;10
Peru;99;molybdenum mine;;1992;3245
Russia;99;molybdenum mine;;1992;6000
Turkey;99;molybdenum mine;;1992;100
USA;99;molybdenum mine;;1992;49725
Uzbekistan;99;molybdenum mine;;1992;
Armenia;99;molybdenum mine;;1993;500
Bulgaria;99;molybdenum mine;;1993;200
Canada;99;molybdenum mine;;1993;9699
Chile;99;molybdenum mine;;1993;14899
China;99;molybdenum mine;;1993;18300
Iran;99;molybdenum mine;;1993;1200
Japan;99;molybdenum mine;;1993;
Kazakhstan;99;molybdenum mine;;1993;600
Kyrgyzstan;99;molybdenum mine;;1993;
Mexico;99;molybdenum mine;;1993;1705
Mongolia;99;molybdenum mine;;1993;1600
Niger;99;molybdenum mine;;1993;10
Peru;99;molybdenum mine;;1993;2866
Russia;99;molybdenum mine;;1993;5700
Turkey;99;molybdenum mine;;1993;100
USA;99;molybdenum mine;;1993;36803
Uzbekistan;99;molybdenum mine;;1993;
Armenia;99;molybdenum mine;;1994;500
Bulgaria;99;molybdenum mine;;1994;200
Canada;99;molybdenum mine;;1994;9188
Chile;99;molybdenum mine;;1994;16028
China;99;molybdenum mine;;1994;21400
Iran;99;molybdenum mine;;1994;1500
Japan;99;molybdenum mine;;1994;651
Kazakhstan;99;molybdenum mine;;1994;218
Kyrgyzstan;99;molybdenum mine;;1994;
Mexico;99;molybdenum mine;;1994;2613
Mongolia;99;molybdenum mine;;1994;2000
Niger;99;molybdenum mine;;1994;
Peru;99;molybdenum mine;;1994;2778
Russia;99;molybdenum mine;;1994;4300
Turkey;99;molybdenum mine;;1994;
USA;99;molybdenum mine;;1994;46800
Uzbekistan;99;molybdenum mine;;1994;500
Armenia;99;molybdenum mine;;1995;1500
Bulgaria;99;molybdenum mine;;1995;400
Canada;99;molybdenum mine;;1995;9522
Chile;99;molybdenum mine;;1995;17889
China;99;molybdenum mine;;1995;33000
Iran;99;molybdenum mine;;1995;800
Japan;99;molybdenum mine;;1995;689
Kazakhstan;99;molybdenum mine;;1995;156
Kyrgyzstan;99;molybdenum mine;;1995;
Mexico;99;molybdenum mine;;1995;3883
Mongolia;99;molybdenum mine;;1995;1823
Niger;99;molybdenum mine;;1995;
Peru;99;molybdenum mine;;1995;3637
Russia;99;molybdenum mine;;1995;4400
Turkey;99;molybdenum mine;;1995;
USA;99;molybdenum mine;;1995;60900
Uzbekistan;99;molybdenum mine;;1995;400
Armenia;99;molybdenum mine;;1996;1800
Bulgaria;99;molybdenum mine;;1996;400
Canada;99;molybdenum mine;;1996;8097
Chile;99;molybdenum mine;;1996;17415
China;99;molybdenum mine;;1996;29600
Iran;99;molybdenum mine;;1996;1200
Japan;99;molybdenum mine;;1996;
Kazakhstan;99;molybdenum mine;;1996;44
Kyrgyzstan;99;molybdenum mine;;1996;
Mexico;99;molybdenum mine;;1996;4211
Mongolia;99;molybdenum mine;;1996;2201
Niger;99;molybdenum mine;;1996;
Peru;99;molybdenum mine;;1996;3968
Russia;99;molybdenum mine;;1996;4800
Turkey;99;molybdenum mine;;1996;
USA;99;molybdenum mine;;1996;56000
Uzbekistan;99;molybdenum mine;;1996;500
Armenia;99;molybdenum mine;;1997;1800
Bulgaria;99;molybdenum mine;;1997;400
Canada;99;molybdenum mine;;1997;8223
Chile;99;molybdenum mine;;1997;21339
China;99;molybdenum mine;;1997;33300
Iran;99;molybdenum mine;;1997;1600
Japan;99;molybdenum mine;;1997;
Kazakhstan;99;molybdenum mine;;1997;81
Kyrgyzstan;99;molybdenum mine;;1997;
Mexico;99;molybdenum mine;;1997;4842
Mongolia;99;molybdenum mine;;1997;1992
Niger;99;molybdenum mine;;1997;
Peru;99;molybdenum mine;;1997;4261
Russia;99;molybdenum mine;;1997;4800
Turkey;99;molybdenum mine;;1997;
USA;99;molybdenum mine;;1997;60100
Uzbekistan;99;molybdenum mine;;1997;500
Armenia;99;molybdenum mine;;1998;2600
Bulgaria;99;molybdenum mine;;1998;
Canada;99;molybdenum mine;;1998;8469
Chile;99;molybdenum mine;;1998;25298
China;99;molybdenum mine;;1998;30015
Iran;99;molybdenum mine;;1998;2400
Japan;99;molybdenum mine;;1998;
Kazakhstan;99;molybdenum mine;;1998;100
Kyrgyzstan;99;molybdenum mine;;1998;148
