Country;commodity_code;commodity_desc;Sub-commodity;year;value
Australia;103;nickel smelter/refined;;2012;125636
Austria;103;nickel smelter/refined;;2012;500
Brazil;103;nickel smelter/refined;;2012;59779
Canada;103;nickel smelter/refined;;2012;146850
China;103;nickel smelter/refined;;2012;519200
Colombia;103;nickel smelter/refined;;2012;103967
Cuba;103;nickel smelter/refined;;2012;25700
Cyprus;103;nickel smelter/refined;Sulfate;2012;
Dominican Republic;103;nickel smelter/refined;;2012;15186
Finland;103;nickel smelter/refined;;2012;46275
France;103;nickel smelter/refined;;2012;13200
Greece;103;nickel smelter/refined;;2012;18630
Guatemala;103;nickel smelter/refined;;2012;0
India;103;nickel smelter/refined;;2012;
Indonesia;103;nickel smelter/refined;;2012;18372
Japan;103;nickel smelter/refined;;2012;169600
Korea (Rep. of);103;nickel smelter/refined;;2012;19870
Kosovo;103;nickel smelter/refined;;2012;4400
Madagascar;103;nickel smelter/refined;;2012;5695
Morocco;103;nickel smelter/refined;Sulfate;2012;
Morocco;103;nickel smelter/refined;;2012;300
Myanmar;103;nickel smelter/refined;;2012;0
New Caledonia;103;nickel smelter/refined;;2012;45383
North Macedonia;103;nickel smelter/refined;;2012;19200
Norway;103;nickel smelter/refined;;2012;91687
Poland;103;nickel smelter/refined;;2012;840
Russia;103;nickel smelter/refined;;2012;254100
South Africa;103;nickel smelter/refined;;2012;32900
Ukraine;103;nickel smelter/refined;;2012;20800
United Kingdom;103;nickel smelter/refined;;2012;39400
Venezuela;103;nickel smelter/refined;;2012;8100
Zimbabwe;103;nickel smelter/refined;;2012;1800
Australia;103;nickel smelter/refined;;2013;141251
Austria;103;nickel smelter/refined;;2013;500
Brazil;103;nickel smelter/refined;;2013;57500
Canada;103;nickel smelter/refined;;2013;152728
China;103;nickel smelter/refined;;2013;693500
Colombia;103;nickel smelter/refined;;2013;49369
Cuba;103;nickel smelter/refined;;2013;16600
Cyprus;103;nickel smelter/refined;Sulfate;2013;
Dominican Republic;103;nickel smelter/refined;;2013;9355
Finland;103;nickel smelter/refined;;2013;44498
France;103;nickel smelter/refined;;2013;12100
Greece;103;nickel smelter/refined;;2013;17500
Guatemala;103;nickel smelter/refined;;2013;0
India;103;nickel smelter/refined;;2013;290
Indonesia;103;nickel smelter/refined;;2013;21200
Japan;103;nickel smelter/refined;;2013;177810
Korea (Rep. of);103;nickel smelter/refined;;2013;23325
Kosovo;103;nickel smelter/refined;;2013;7600
Madagascar;103;nickel smelter/refined;;2013;25148
Morocco;103;nickel smelter/refined;Sulfate;2013;
Morocco;103;nickel smelter/refined;;2013;
Myanmar;103;nickel smelter/refined;;2013;9450
New Caledonia;103;nickel smelter/refined;;2013;48370
North Macedonia;103;nickel smelter/refined;;2013;20000
Norway;103;nickel smelter/refined;;2013;91017
Poland;103;nickel smelter/refined;;2013;570
Russia;103;nickel smelter/refined;;2013;241800
South Africa;103;nickel smelter/refined;;2013;32200
Ukraine;103;nickel smelter/refined;;2013;21200
United Kingdom;103;nickel smelter/refined;;2013;42400
Venezuela;103;nickel smelter/refined;;2013;5200
Zimbabwe;103;nickel smelter/refined;;2013;2800
Australia;103;nickel smelter/refined;;2014;137762
Austria;103;nickel smelter/refined;;2014;600
Brazil;103;nickel smelter/refined;;2014;79600
Canada;103;nickel smelter/refined;;2014;149486
