TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,19880101,1988,52,1988,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2612,Uranium or thorium ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,,TRUE,,FALSE,,FALSE,381,,381,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2612,Uranium or thorium ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,,TRUE,,FALSE,,FALSE,,321940746,321940746,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2613,Molybdenum ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37983,FALSE,-1,N/A,,TRUE,37983,FALSE,,FALSE,249635,,249635,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2613,Molybdenum ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,66863,FALSE,-1,N/A,,TRUE,66863,FALSE,,FALSE,,20325,20325,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,7,l,6553954070,FALSE,-1,N/A,,TRUE,5635386131,FALSE,,FALSE,649188561,,649188561,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,7,l,5615574554,FALSE,-1,N/A,,TRUE,4828524982,FALSE,,FALSE,,572705203,572705203,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,432,FALSE,-1,N/A,,TRUE,432,FALSE,,FALSE,7151,,7151,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280530,"Earth-metals, rare; scandium and yttrium, whether or not intermixed or interalloyed",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5602,FALSE,-1,N/A,,TRUE,5602,FALSE,,FALSE,51781,,51781,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,280530,"Earth-metals, rare; scandium and yttrium, whether or not intermixed or interalloyed",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67966,FALSE,-1,N/A,,TRUE,67966,FALSE,,FALSE,,128450,128450,0,FALSE,FALSE
C,A,19880101,1988,52,1988,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,176930,FALSE,-1,N/A,,TRUE,176930,FALSE,,FALSE,688882,,688882,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2504,Graphite; natural,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77288,FALSE,-1,N/A,,TRUE,77288,FALSE,,FALSE,57979,,57979,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2504,Graphite; natural,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4000,FALSE,-1,N/A,,TRUE,4000,FALSE,,FALSE,,536,536,0,FALSE,FALSE
